"",BBFN1.M.DE.N.1.A.RO.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RO.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Romania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:00,
1995-01,0.006,
1995-02,0.005,
1995-03,0.006,
1995-04,0.007,
1995-05,0.006,
1995-06,0.007,
1995-07,0.008,
1995-08,0.008,
1995-09,0.008,
1995-10,0.009,
1995-11,0.010,
1995-12,0.008,
1996-01,0.013,
1996-02,0.017,
1996-03,0.017,
1996-04,0.014,
1996-05,0.013,
1996-06,0.013,
1996-07,0.015,
1996-08,0.020,
1996-09,0.016,
1996-10,0.014,
1996-11,0.019,
1996-12,0.019,
1997-01,0.018,
1997-02,0.017,
1997-03,0.022,
1997-04,0.021,
1997-05,0.020,
1997-06,0.024,
1997-07,0.026,
1997-08,0.027,
1997-09,0.021,
1997-10,0.026,
1997-11,0.031,
1997-12,0.035,
1998-01,0.039,
1998-02,0.032,
1998-03,0.051,
1998-04,0.047,
1998-05,0.048,
1998-06,0.049,
1998-07,0.046,
1998-08,0.038,
1998-09,0.040,
1998-10,0.030,
1998-11,0.046,
1998-12,0.044,
1999-01,0.056,
1999-02,0.050,
1999-03,0.053,
1999-04,0.097,
1999-05,0.097,
1999-06,0.099,
1999-07,0.114,
1999-08,0.114,
1999-09,0.116,
1999-10,0.115,
1999-11,0.119,
1999-12,0.117,
2000-01,0.124,
2000-02,0.095,
2000-03,0.099,
2000-04,0.099,
2000-05,0.098,
2000-06,0.091,
2000-07,0.097,
2000-08,0.099,
2000-09,0.099,
2000-10,0.099,
2000-11,0.102,
2000-12,0.095,
2001-01,0.089,
2001-02,0.090,
2001-03,0.098,
2001-04,0.099,
2001-05,0.101,
2001-06,0.106,
2001-07,0.108,
2001-08,0.105,
2001-09,0.116,
2001-10,0.132,
2001-11,0.133,
2001-12,0.149,
2002-01,0.195,
2002-02,0.200,
2002-03,0.201,
2002-04,0.204,
2002-05,0.184,
2002-06,0.175,
2002-07,0.178,
2002-08,0.182,
2002-09,0.202,
2002-10,0.257,
2002-11,0.208,
2002-12,0.201,
2003-01,0.213,
2003-02,0.217,
2003-03,0.234,
2003-04,0.240,
2003-05,0.244,
2003-06,0.252,
2003-07,0.258,
2003-08,0.268,
2003-09,0.268,
2003-10,0.277,
2003-11,0.278,
2003-12,0.270,
2004-01,0.278,
2004-02,0.248,
2004-03,0.256,
2004-04,0.278,
2004-05,0.313,
2004-06,0.355,
2004-07,0.356,
2004-08,0.352,
2004-09,0.375,
2004-10,0.391,
2004-11,0.407,
2004-12,0.376,
2005-01,0.374,
2005-02,0.401,
2005-03,0.428,
2005-04,0.440,
2005-05,0.471,
2005-06,0.501,
2005-07,0.523,
2005-08,0.480,
2005-09,0.509,
2005-10,0.541,
2005-11,0.597,
2005-12,0.603,
2006-01,0.549,
2006-02,0.579,
2006-03,0.594,
2006-04,0.681,
2006-05,0.706,
2006-06,0.752,
2006-07,0.777,
2006-08,0.819,
2006-09,0.831,
2006-10,0.877,
2006-11,0.829,
2006-12,0.911,
2007-01,0.957,
2007-02,0.910,
2007-03,0.996,
2007-04,1.071,
2007-05,1.106,
2007-06,1.143,
2007-07,1.190,
2007-08,1.170,
2007-09,1.212,
2007-10,1.312,
2007-11,1.358,
2007-12,1.379,
2008-01,1.386,
2008-02,1.481,
2008-03,1.499,
2008-04,1.500,
2008-05,1.470,
2008-06,1.585,
2008-07,1.650,
2008-08,1.644,
2008-09,1.703,
2008-10,1.727,
2008-11,1.721,
2008-12,1.659,
2009-01,1.607,
2009-02,1.635,
2009-03,1.727,
2009-04,1.786,
2009-05,1.752,
2009-06,1.823,
2009-07,1.875,
2009-08,1.838,
2009-09,1.949,
2009-10,1.955,
2009-11,1.917,
2009-12,1.873,
2010-01,1.902,
2010-02,1.961,
2010-03,1.957,
2010-04,1.925,
2010-05,1.904,
2010-06,1.862,
2010-07,1.870,
2010-08,1.884,
2010-09,1.876,
2010-10,1.920,
2010-11,1.968,
2010-12,1.909,
2011-01,2.027,
2011-02,1.902,
2011-03,1.915,
2011-04,1.938,
2011-05,2.110,
2011-06,1.911,
2011-07,1.945,
2011-08,1.943,
2011-09,1.912,
2011-10,1.978,
2011-11,1.978,
2011-12,1.770,
2012-01,1.984,
2012-02,1.999,
2012-03,2.031,
2012-04,2.055,
2012-05,2.052,
2012-06,2.051,
2012-07,2.038,
2012-08,2.063,
2012-09,2.044,
2012-10,2.061,
2012-11,1.956,
2012-12,1.990,
2013-01,2.003,
2013-02,2.055,
2013-03,2.038,
2013-04,2.043,
2013-05,2.029,
2013-06,4.042,
2013-07,1.984,
2013-08,1.926,
2013-09,1.987,
2013-10,1.994,
2013-11,1.946,
2013-12,1.662,
2014-01,1.766,
2014-02,1.731,
2014-03,2.116,
2014-04,2.146,
2014-05,1.763,
2014-06,1.759,
2014-07,1.743,
2014-08,1.759,
2014-09,1.757,
2014-10,1.745,
2014-11,1.751,
2014-12,1.796,
