"",BBAI3.Q.DE.N.V.LE.F4.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:45,
2005-10,19521,
2006-01,19321,
2006-04,19477,
2006-07,19955,
2006-10,20148,
2007-01,19899,
2007-04,20302,
2007-07,20799,
2007-10,21874,
2008-01,21184,
2008-04,20897,
2008-07,21055,
2008-10,21553,
2009-01,21914,
2009-04,22164,
2009-07,22360,
2009-10,23314,
2010-01,23605,
2010-04,24066,
2010-07,24250,
2010-10,23968,
2011-01,25101,
2011-04,25304,
2011-07,25420,
2011-10,25864,
2012-01,26149,
2012-04,26228,
2012-07,26406,
2012-10,26680,
2013-01,26757,
2013-04,26689,
2013-07,27252,
2013-10,27267,
2014-01,27165,
2014-04,27170,
2014-07,27072,
