"",BBK01.OECB09J,BBK01.OECB09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:11,
2002-01,1.150,
2002-04,1.240,
2002-07,1.165,
2002-10,1.061,
2003-01,1.070,
2003-04,1.091,
2003-07,1.040,
2003-10,0.798,
2004-01,0.816,
2004-04,0.854,
2004-07,0.757,
2004-10,0.678,
2005-01,0.666,
2005-04,0.643,
2005-07,0.682,
2005-10,0.588,
2006-01,0.615,
2006-04,0.647,
2006-07,0.639,
2006-10,0.657,
2007-01,0.784,
2007-04,0.844,
2007-07,0.936,
2007-10,0.810,
2008-01,0.830,
2008-04,0.912,
2008-07,0.931,
2008-10,0.852,
2009-01,0.846,
2009-04,0.860,
2009-07,0.819,
2009-10,0.741,
2010-01,0.748,
2010-04,0.805,
2010-07,0.754,
2010-10,0.728,
2011-01,0.810,
2011-04,0.853,
2011-07,0.822,
2011-10,0.839,
2012-01,0.850,
2012-04,1.080,
2012-07,1.052,
2012-10,0.902,
2013-01,0.964,
2013-04,0.892,
2013-07,0.904,
2013-10,0.904,
2014-01,0.926,
2014-04,0.908,
2014-07,0.857,
