"",BBK01.OEHM06U,BBK01.OEHM06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:01,
2002-01,0.043,
2002-04,0.049,
2002-07,0.038,
2002-10,0.038,
2003-01,0.036,
2003-04,0.035,
2003-07,0.030,
2003-10,0.034,
2004-01,0.030,
2004-04,0.027,
2004-07,0.020,
2004-10,0.026,
2005-01,0.025,
2005-04,0.027,
2005-07,0.026,
2005-10,0.024,
2006-01,0.024,
2006-04,0.025,
2006-07,0.026,
2006-10,0.026,
2007-01,0.024,
2007-04,0.027,
2007-07,0.024,
2007-10,0.025,
2008-01,0.030,
2008-04,0.030,
2008-07,0.026,
2008-10,0.019,
2009-01,0.024,
2009-04,0.025,
2009-07,0.022,
2009-10,0.026,
2010-01,0.027,
2010-04,0.029,
2010-07,0.027,
2010-10,0.024,
2011-01,0.018,
2011-04,0.016,
2011-07,0.015,
2011-10,0.013,
2012-01,0.013,
2012-04,0.010,
2012-07,0.011,
2012-10,0.013,
2013-01,0.011,
2013-04,0.011,
2013-07,0.011,
2013-10,0.011,
2014-01,0.012,
2014-04,0.011,
2014-07,0.011,
