"",BBFB1.Q.N.DE.S6.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:48,
1991-01,684.800,
1991-04,795.233,
1991-07,773.499,
1991-10,787.937,
1992-01,787.632,
1992-04,803.856,
1992-07,794.712,
1992-10,777.830,
1993-01,704.865,
1993-04,768.488,
1993-07,727.933,
1993-10,728.124,
1994-01,811.974,
1994-04,867.240,
1994-07,913.882,
1994-10,861.689,
1995-01,936.449,
1995-04,1012.968,
1995-07,972.247,
1995-10,968.989,
1996-01,928.261,
1996-04,1026.102,
1996-07,1026.269,
1996-10,979.716,
1997-01,963.800,
1997-04,1038.548,
1997-07,973.186,
1997-10,995.555,
1998-01,1068.599,
1998-04,1191.478,
1998-07,1084.441,
1998-10,1090.128,
1999-01,1071.958,
1999-04,1200.007,
1999-07,1216.516,
1999-10,1257.837,
2000-01,1565.909,
2000-04,1547.883,
2000-07,1526.749,
2000-10,1501.362,
2001-01,1465.558,
2001-04,1404.131,
2001-07,1225.868,
2001-10,1121.375,
2002-01,1115.116,
2002-04,1119.958,
2002-07,1024.996,
2002-10,969.253,
2003-01,945.790,
2003-04,921.856,
2003-07,892.026,
2003-10,854.781,
2004-01,943.063,
2004-04,901.504,
2004-07,871.938,
2004-10,894.993,
2005-01,798.603,
2005-04,876.088,
2005-07,887.442,
2005-10,958.292,
2006-01,1104.542,
2006-04,1207.354,
2006-07,1233.071,
2006-10,1290.835,
2007-01,1347.751,
2007-04,1400.753,
2007-07,1318.451,
2007-10,1249.471,
2008-01,1108.312,
2008-04,1548.937,
2008-07,1490.137,
2008-10,1207.697,
2009-01,824.611,
2009-04,818.866,
2009-07,770.590,
2009-10,766.601,
2010-01,871.695,
2010-04,969.545,
2010-07,837.940,
2010-10,873.687,
2011-01,786.225,
2011-04,951.032,
2011-07,799.469,
2011-10,801.914,
2012-01,787.065,
2012-04,951.746,
2012-07,737.048,
2012-10,711.075,
2013-01,933.980,
2013-04,1088.007,
2013-07,857.998,
2013-10,867.882,
2014-01,797.175,Provisional value
2014-04,1048.488,Provisional value
2014-07,800.030,Provisional value
