"",BBK01.OEHJ03P,BBK01.OEHJ03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:28,
2002-01,0.362,
2002-04,0.405,
2002-07,0.420,
2002-10,0.421,
2003-01,0.404,
2003-04,0.371,
2003-07,0.384,
2003-10,0.323,
2004-01,0.325,
2004-04,0.354,
2004-07,0.389,
2004-10,0.391,
2005-01,0.433,
2005-04,0.419,
2005-07,0.397,
2005-10,0.458,
2006-01,0.424,
2006-04,0.435,
2006-07,0.529,
2006-10,0.597,
2007-01,0.553,
2007-04,0.655,
2007-07,0.798,
2007-10,0.848,
2008-01,0.898,
2008-04,0.886,
2008-07,1.009,
2008-10,0.817,
2009-01,0.791,
2009-04,0.810,
2009-07,0.655,
2009-10,0.695,
2010-01,0.607,
2010-04,0.528,
2010-07,0.537,
2010-10,0.740,
2011-01,0.543,
2011-04,0.522,
2011-07,0.520,
2011-10,0.558,
2012-01,0.516,
2012-04,0.514,
2012-07,0.489,
2012-10,0.478,
2013-01,0.452,
2013-04,0.429,
2013-07,0.435,
2013-10,0.366,
2014-01,0.388,
2014-04,0.387,
2014-07,0.393,
