"",BBK01.OECL04N,BBK01.OECL04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:40,
2002-01,3.009,
2002-04,2.979,
2002-07,2.943,
2002-10,2.923,
2003-01,2.737,
2003-04,2.463,
2003-07,2.266,
2003-10,2.163,
2004-01,2.087,
2004-04,1.894,
2004-07,1.953,
2004-10,2.101,
2005-01,2.464,
2005-04,2.479,
2005-07,2.346,
2005-10,2.554,
2006-01,2.661,
2006-04,2.803,
2006-07,2.983,
2006-10,3.286,
2007-01,3.455,
2007-04,3.819,
2007-07,4.772,
2007-10,5.678,
2008-01,6.052,
2008-04,6.492,
2008-07,7.989,
2008-10,8.286,
2009-01,6.849,
2009-04,5.959,
2009-07,4.261,
2009-10,3.099,
2010-01,2.044,
2010-04,1.806,
2010-07,1.345,
2010-10,1.282,
2011-01,1.302,
2011-04,1.570,
2011-07,1.255,
2011-10,1.475,
2012-01,1.557,
2012-04,1.561,
2012-07,1.482,
2012-10,0.920,
2013-01,0.790,
2013-04,0.711,
2013-07,0.620,
2013-10,0.578,
2014-01,0.603,
2014-04,0.761,
2014-07,0.707,
