"",BBK01.OXK7C1,BBK01.OXK7C1_FLAGS
"",Trading portfolio derivatives (included in other assets) / Regional institutions of credit cooperatives,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:46,
2010-12,24.813,
2011-01,22.649,
2011-02,22.562,
2011-03,20.895,
2011-04,21.524,
2011-05,22.046,
2011-06,20.386,
2011-07,23.727,
2011-08,27.815,
2011-09,32.418,
2011-10,29.930,
2011-11,30.153,
2011-12,33.398,
2012-01,34.385,
2012-02,33.591,
2012-03,34.148,
2012-04,35.530,
2012-05,44.575,
2012-06,38.624,
2012-07,42.134,
2012-08,41.715,
2012-09,39.739,
2012-10,38.258,
2012-11,38.504,
2012-12,38.954,
2013-01,33.991,
2013-02,35.731,
2013-03,36.052,
2013-04,37.114,
2013-05,33.107,
2013-06,29.651,
2013-07,29.566,
2013-08,27.366,
2013-09,28.368,
2013-10,29.032,
2013-11,28.351,
2013-12,26.077,
2014-01,28.013,
2014-02,27.970,
2014-03,27.907,
2014-04,28.810,
2014-05,30.723,
2014-06,31.693,
2014-07,32.363,
2014-08,34.219,
2014-09,34.450,
2014-10,34.375,
2014-11,35.779,
2014-12,37.681,Provisional value
