"",BBK01.OEAA53O,BBK01.OEAA53O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:45,
2002-01,2.139,
2002-04,1.693,
2002-07,1.907,
2002-10,0.773,
2003-01,2.054,
2003-04,0.931,
2003-07,1.440,
2003-10,0.917,
2004-01,1.449,
2004-04,0.955,
2004-07,1.098,
2004-10,1.187,
2005-01,4.935,
2005-04,4.838,
2005-07,4.482,
2005-10,4.803,
2006-01,5.046,
2006-04,5.429,
2006-07,5.332,
2006-10,5.484,
2007-01,5.778,
2007-04,6.239,
2007-07,7.149,
2007-10,7.868,
2008-01,8.226,
2008-04,8.874,
2008-07,8.154,
2008-10,7.161,
2009-01,7.413,
2009-04,7.658,
2009-07,8.246,
2009-10,9.986,
2010-01,10.104,
2010-04,9.141,
2010-07,8.719,
2010-10,8.754,
2011-01,8.682,
2011-04,8.555,
2011-07,9.522,
2011-10,9.505,
2012-01,8.139,
2012-04,8.069,
2012-07,7.485,
2012-10,7.835,
2013-01,7.687,
2013-04,7.208,
2013-07,7.638,
2013-10,7.226,
2014-01,6.906,
2014-04,6.030,
2014-07,5.796,
