"",BBK01.OEAI02P,BBK01.OEAI02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:13,
2002-01,4.912,
2002-04,4.959,
2002-07,5.140,
2002-10,5.105,
2003-01,5.260,
2003-04,5.380,
2003-07,5.319,
2003-10,5.521,
2004-01,5.476,
2004-04,5.593,
2004-07,5.569,
2004-10,5.948,
2005-01,5.802,
2005-04,6.122,
2005-07,6.314,
2005-10,6.300,
2006-01,6.343,
2006-04,6.315,
2006-07,6.173,
2006-10,6.403,
2007-01,6.409,
2007-04,6.366,
2007-07,6.614,
2007-10,6.807,
2008-01,6.555,
2008-04,6.568,
2008-07,6.404,
2008-10,7.407,
2009-01,7.611,
2009-04,8.092,
2009-07,8.526,
2009-10,9.527,
2010-01,9.525,
2010-04,10.244,
2010-07,10.096,
2010-10,10.647,
2011-01,10.488,
2011-04,10.510,
2011-07,10.986,
2011-10,11.536,
2012-01,10.947,
2012-04,11.682,
2012-07,12.030,
2012-10,13.176,
2013-01,12.597,
2013-04,12.710,
2013-07,12.904,
2013-10,13.499,
2014-01,13.395,
2014-04,13.357,
2014-07,13.499,
