"",BBK01.OECB09L,BBK01.OECB09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:27,
2002-01,22.401,
2002-04,22.016,
2002-07,23.125,
2002-10,19.051,
2003-01,22.709,
2003-04,23.349,
2003-07,26.391,
2003-10,24.219,
2004-01,21.215,
2004-04,18.857,
2004-07,21.295,
2004-10,23.820,
2005-01,29.589,
2005-04,29.815,
2005-07,37.577,
2005-10,34.946,
2006-01,42.396,
2006-04,46.862,
2006-07,48.096,
2006-10,28.567,
2007-01,43.983,
2007-04,43.559,
2007-07,42.037,
2007-10,37.811,
2008-01,46.036,
2008-04,39.995,
2008-07,35.713,
2008-10,31.552,
2009-01,32.522,
2009-04,33.462,
2009-07,34.196,
2009-10,32.139,
2010-01,28.024,
2010-04,29.828,
2010-07,27.230,
2010-10,30.067,
2011-01,31.659,
2011-04,34.724,
2011-07,30.144,
2011-10,33.071,
2012-01,33.244,
2012-04,31.132,
2012-07,32.088,
2012-10,32.880,
2013-01,37.011,
2013-04,45.535,
2013-07,17.540,
2013-10,16.210,
2014-01,16.863,
2014-04,16.407,
2014-07,17.474,
