"",BBK01.OEXK04R,BBK01.OEXK04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:21,
2002-01,0.067,
2002-04,0.069,
2002-07,0.061,
2002-10,0.062,
2003-01,0.048,
2003-04,0.044,
2003-07,0.046,
2003-10,0.047,
2004-01,0.044,
2004-04,0.040,
2004-07,0.039,
2004-10,0.014,
2005-01,0.013,
2005-04,0.013,
2005-07,0.014,
2005-10,0.015,
2006-01,0.014,
2006-04,0.015,
2006-07,0.017,
2006-10,0.020,
2007-01,0.022,
2007-04,0.052,
2007-07,0.025,
2007-10,0.030,
2008-01,0.031,
2008-04,0.044,
2008-07,0.047,
2008-10,0.040,
2009-01,0.023,
2009-04,0.019,
2009-07,0.004,
2009-10,0.002,
2010-01,0.003,
2010-04,0.003,
2010-07,0.002,
2010-10,0.003,
2011-01,0.003,
2011-04,0.003,
2011-07,0.005,
2011-10,0.006,
2012-01,0.011,
2012-04,0.008,
2012-07,0.007,
2012-10,0.009,
2013-01,0.008,
2013-04,0.007,
2013-07,0.005,
2013-10,0.005,
2014-01,0.005,
2014-04,0.005,
2014-07,0.003,
