"",BBK01.OEAC11P,BBK01.OEAC11P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:44,
2002-01,1.542,
2002-04,1.547,
2002-07,1.550,
2002-10,1.556,
2003-01,1.541,
2003-04,1.533,
2003-07,1.601,
2003-10,1.617,
2004-01,1.354,
2004-04,1.391,
2004-07,1.430,
2004-10,1.352,
2005-01,1.328,
2005-04,1.334,
2005-07,1.356,
2005-10,1.350,
2006-01,1.368,
2006-04,1.372,
2006-07,1.381,
2006-10,1.400,
2007-01,1.404,
2007-04,1.375,
2007-07,1.383,
2007-10,1.419,
2008-01,1.426,
2008-04,1.440,
2008-07,1.469,
2008-10,1.487,
2009-01,1.451,
2009-04,1.499,
2009-07,1.531,
2009-10,1.497,
2010-01,1.569,
2010-04,1.821,
2010-07,1.727,
2010-10,1.713,
2011-01,1.691,
2011-04,1.685,
2011-07,1.776,
2011-10,1.783,
2012-01,1.776,
2012-04,1.895,
2012-07,1.921,
2012-10,1.920,
2013-01,1.893,
2013-04,1.884,
2013-07,1.829,
2013-10,1.869,
2014-01,1.839,
2014-04,1.826,
2014-07,1.850,
