"",BBK01.OEBB14O,BBK01.OEBB14O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:52,
2002-01,0.059,
2002-04,0.034,
2002-07,0.058,
2002-10,0.065,
2003-01,-0.050,
2003-04,-0.079,
2003-07,-0.084,
2003-10,-0.058,
2004-01,-0.075,
2004-04,-0.089,
2004-07,-0.095,
2004-10,-0.085,
2005-01,0.202,
2005-04,0.202,
2005-07,0.195,
2005-10,0.196,
2006-01,0.189,
2006-04,0.193,
2006-07,0.204,
2006-10,0.204,
2007-01,0.184,
2007-04,0.180,
2007-07,0.168,
2007-10,0.169,
2008-01,0.157,
2008-04,0.156,
2008-07,0.149,
2008-10,0.152,
2009-01,0.153,
2009-04,0.142,
2009-07,0.131,
2009-10,0.131,
2010-01,0.130,
2010-04,0.146,
2010-07,0.146,
2010-10,0.138,
2011-01,0.122,
2011-04,0.119,
2011-07,0.121,
2011-10,0.116,
2012-01,0.115,
2012-04,0.118,
2012-07,0.109,
2012-10,0.110,
2013-01,0.104,
2013-04,0.094,
2013-07,0.084,
2013-10,0.088,
2014-01,0.081,
2014-04,0.081,
2014-07,0.087,
