"",BBK01.OEXO04R,BBK01.OEXO04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:18,
2002-01,-0.027,
2002-04,-0.040,
2002-07,0.009,
2002-10,-0.001,
2003-01,-0.015,
2003-04,-0.030,
2003-07,-0.013,
2003-10,-0.013,
2004-01,-0.017,
2004-04,-0.026,
2004-07,-0.020,
2004-10,0.004,
2005-01,0.018,
2005-04,-0.003,
2005-07,-0.013,
2005-10,0.013,
2006-01,0.010,
2006-04,0.001,
2006-07,0.005,
2006-10,0.022,
2007-01,0.096,
2007-04,0.026,
2007-07,0.039,
2007-10,0.057,
2008-01,0.048,
2008-04,0.025,
2008-07,0.030,
2008-10,0.107,
2009-01,-0.032,
2009-04,-0.031,
2009-07,-0.001,
2009-10,-0.067,
2010-01,-0.060,
2010-04,-0.021,
2010-07,-0.019,
2010-10,0.049,
2011-01,0.066,
2011-04,0.011,
2011-07,-0.010,
2011-10,-0.001,
2012-01,-0.025,
2012-04,-0.004,
2012-07,-0.021,
2012-10,-0.039,
2013-01,-0.053,
2013-04,-0.043,
2013-07,-0.014,
2013-10,-0.007,
2014-01,-0.013,
2014-04,-0.019,
2014-07,0.038,
