"",BBK01.CEFF13,BBK01.CEFF13_FLAGS
"",long-term loans                                              debtor: Non-financial corporations creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:32,
1999-01,525.4,
1999-04,530.2,
1999-07,554.9,
1999-10,575.1,
2000-01,571.8,
2000-04,579.2,
2000-07,587.2,
2000-10,599.2,
2001-01,601.3,
2001-04,602.9,
2001-07,607.5,
2001-10,617.6,
2002-01,618.1,
2002-04,614.5,
2002-07,614.8,
2002-10,615.8,
2003-01,612.4,
2003-04,610.7,
2003-07,606.9,
2003-10,605.1,
2004-01,606.7,
2004-04,608.2,
2004-07,604.7,
2004-10,611.9,
2005-01,603.6,
2005-04,604.0,
2005-07,598.0,
2005-10,603.5,
2006-01,609.5,
2006-04,613.7,
2006-07,620.1,
2006-10,619.5,
2007-01,622.7,
2007-04,625.7,
2007-07,631.2,
2007-10,643.2,
2008-01,632.4,
2008-04,632.4,
2008-07,641.9,
2008-10,647.4,
2009-01,650.2,
2009-04,648.8,
2009-07,656.5,
2009-10,662.5,
2010-01,656.5,
2010-04,651.1,
2010-07,650.9,
2010-10,643.8,
2011-01,639.9,
2011-04,643.2,
2011-07,645.5,
2011-10,662.9,
2012-01,664.2,
2012-04,672.8,
2012-07,663.2,
2012-10,666.2,
2013-01,662.0,
2013-04,661.3,
2013-07,655.9,
2013-10,661.5,
2014-01,660.4,
2014-04,663.7,
2014-07,666.4,
