"",BBK01.OEBI04T,BBK01.OEBI04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:36,
2002-01,1.199,
2002-04,1.145,
2002-07,1.089,
2002-10,0.917,
2003-01,0.856,
2003-04,0.778,
2003-07,0.742,
2003-10,0.709,
2004-01,0.672,
2004-04,0.585,
2004-07,0.590,
2004-10,0.679,
2005-01,0.681,
2005-04,0.664,
2005-07,0.575,
2005-10,0.785,
2006-01,0.826,
2006-04,0.784,
2006-07,1.001,
2006-10,1.352,
2007-01,1.271,
2007-04,1.350,
2007-07,1.683,
2007-10,1.489,
2008-01,1.478,
2008-04,1.823,
2008-07,1.969,
2008-10,1.527,
2009-01,0.929,
2009-04,0.759,
2009-07,0.591,
2009-10,0.478,
2010-01,0.407,
2010-04,0.392,
2010-07,0.376,
2010-10,0.402,
2011-01,0.358,
2011-04,0.451,
2011-07,0.515,
2011-10,0.930,
2012-01,1.080,
2012-04,1.187,
2012-07,1.246,
2012-10,1.175,
2013-01,1.498,
2013-04,1.176,
2013-07,1.135,
2013-10,1.039,
2014-01,1.187,
2014-04,1.292,
2014-07,1.141,
