"",BBK01.OEAB02T,BBK01.OEAB02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:39,
2002-01,2.206,
2002-04,2.246,
2002-07,2.375,
2002-10,2.249,
2003-01,2.337,
2003-04,2.327,
2003-07,2.408,
2003-10,2.313,
2004-01,2.258,
2004-04,2.263,
2004-07,2.269,
2004-10,2.219,
2005-01,2.205,
2005-04,2.187,
2005-07,2.266,
2005-10,2.210,
2006-01,2.252,
2006-04,2.268,
2006-07,2.298,
2006-10,2.173,
2007-01,2.275,
2007-04,2.380,
2007-07,2.312,
2007-10,2.393,
2008-01,2.452,
2008-04,2.421,
2008-07,2.362,
2008-10,2.372,
2009-01,2.463,
2009-04,1.991,
2009-07,1.919,
2009-10,1.979,
2010-01,1.953,
2010-04,1.831,
2010-07,1.760,
2010-10,1.629,
2011-01,1.679,
2011-04,1.673,
2011-07,1.686,
2011-10,1.629,
2012-01,1.686,
2012-04,1.751,
2012-07,1.768,
2012-10,1.763,
2013-01,1.745,
2013-04,1.894,
2013-07,1.941,
2013-10,1.760,
2014-01,2.205,
2014-04,2.160,
2014-07,2.330,
