"",BBK01.OELL01R,BBK01.OELL01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:42,
2002-01,2.676,
2002-04,2.627,
2002-07,2.693,
2002-10,2.801,
2003-01,2.809,
2003-04,2.770,
2003-07,2.788,
2003-10,2.851,
2004-01,2.863,
2004-04,2.836,
2004-07,2.879,
2004-10,2.853,
2005-01,2.921,
2005-04,2.870,
2005-07,2.901,
2005-10,2.940,
2006-01,2.889,
2006-04,2.968,
2006-07,2.987,
2006-10,3.023,
2007-01,3.039,
2007-04,3.052,
2007-07,3.105,
2007-10,3.164,
2008-01,3.145,
2008-04,3.126,
2008-07,3.121,
2008-10,3.248,
2009-01,3.239,
2009-04,3.225,
2009-07,3.173,
2009-10,3.233,
2010-01,3.247,
2010-04,3.260,
2010-07,3.276,
2010-10,3.318,
2011-01,3.289,
2011-04,3.291,
2011-07,3.293,
2011-10,3.347,
2012-01,3.333,
2012-04,3.362,
2012-07,3.404,
2012-10,3.457,
2013-01,3.451,
2013-04,3.482,
2013-07,3.508,
2013-10,3.579,
2014-01,3.572,
2014-04,3.594,
2014-07,3.637,
