"",BBDL1.M.DE.N.EMP.EAA000.A0000.A00.D10.0.ABA.A,BBDL1.M.DE.N.EMP.EAA000.A0000.A00.D10.0.ABA.A_FLAGS
"",Employed persons according to ESA 2010 / Germany / Domestic concept / Absolute value / Unadjusted figure,
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:05:01,
1991-01,38958,
1991-02,38907,
1991-03,38829,
1991-04,38789,
1991-05,38785,
1991-06,38804,
1991-07,38680,
1991-08,38631,
1991-09,38799,
1991-10,38850,
1991-11,38825,
1991-12,38627,
1992-01,38278,
1992-02,38297,
1992-03,38301,
1992-04,38229,
1992-05,38233,
1992-06,38322,
1992-07,38257,
1992-08,38282,
1992-09,38417,
1992-10,38383,
1992-11,38298,
1992-12,38094,
1993-01,37748,
1993-02,37768,
1993-03,37773,
1993-04,37685,
1993-05,37643,
1993-06,37741,
1993-07,37701,
1993-08,37774,
1993-09,37965,
1993-10,37960,
1993-11,37912,
1993-12,37764,
1994-01,37476,
1994-02,37551,
1994-03,37601,
1994-04,37537,
1994-05,37600,
1994-06,37735,
1994-07,37734,
1994-08,37881,
1994-09,38119,
1994-10,38171,
1994-11,38167,
1994-12,38001,
1995-01,37614,
1995-02,37657,
1995-03,37770,
1995-04,37800,
1995-05,37793,
1995-06,37916,
1995-07,37938,
1995-08,38027,
1995-09,38234,
1995-10,38317,
1995-11,38304,
1995-12,38124,
1996-01,37669,
1996-02,37694,
1996-03,37727,
1996-04,37807,
1996-05,37946,
1996-06,38001,
1996-07,38005,
1996-08,38077,
1996-09,38210,
1996-10,38237,
1996-11,38245,
1996-12,38008,
1997-01,37485,
1997-02,37566,
1997-03,37677,
1997-04,37737,
1997-05,37822,
1997-06,37941,
1997-07,37990,
1997-08,38126,
1997-09,38282,
1997-10,38337,
1997-11,38339,
1997-12,38064,
1998-01,37660,
1998-02,37750,
1998-03,37929,
1998-04,38049,
1998-05,38203,
1998-06,38375,
1998-07,38479,
1998-08,38664,
1998-09,38916,
1998-10,39006,
1998-11,39037,
1998-12,38813,
1999-01,38399,
1999-02,38442,
1999-03,38553,
1999-04,38470,
1999-05,38698,
1999-06,38991,
1999-07,39089,
1999-08,39288,
1999-09,39504,
1999-10,39588,
1999-11,39707,
1999-12,39637,
2000-01,39350,
2000-02,39452,
2000-03,39601,
2000-04,39694,
2000-05,39845,
2000-06,39983,
2000-07,40029,
2000-08,40105,
2000-09,40254,
2000-10,40281,
2000-11,40320,
2000-12,40091,
2001-01,39518,
2001-02,39523,
2001-03,39580,
2001-04,39667,
2001-05,39805,
2001-06,39844,
2001-07,39816,
2001-08,39873,
2001-09,40006,
2001-10,40063,
2001-11,40112,
2001-12,39900,
2002-01,39441,
2002-02,39450,
2002-03,39497,
2002-04,39573,
2002-05,39688,
2002-06,39700,
2002-07,39671,
2002-08,39673,
2002-09,39802,
2002-10,39799,
2002-11,39767,
2002-12,39499,
2003-01,38974,
2003-02,38974,
2003-03,38977,
2003-04,38967,
2003-05,39073,
2003-06,39224,
2003-07,39254,
2003-08,39254,
2003-09,39416,
2003-10,39504,
2003-11,39499,
2003-12,39282,
2004-01,38875,
2004-02,38896,
2004-03,39036,
2004-04,39186,
2004-05,39317,
2004-06,39439,
2004-07,39397,
2004-08,39462,
2004-09,39645,
2004-10,39695,
2004-11,39685,
2004-12,39404,
2005-01,38884,
2005-02,38880,
2005-03,38941,
2005-04,39015,
2005-05,39190,
2005-06,39353,
2005-07,39326,
2005-08,39462,
2005-09,39696,
2005-10,39776,
2005-11,39811,
2005-12,39571,
2006-01,38921,
2006-02,38924,
2006-03,39035,
2006-04,39223,
2006-05,39518,
2006-06,39746,
2006-07,39782,
2006-08,39885,
2006-09,40077,
2006-10,40161,
2006-11,40252,
2006-12,40087,
2007-01,39672,
2007-02,39730,
2007-03,39865,
2007-04,40048,
2007-05,40240,
2007-06,40366,
2007-07,40410,
2007-08,40519,
2007-09,40706,
2007-10,40843,
2007-11,40867,
2007-12,40629,
2008-01,40331,
2008-02,40357,
2008-03,40480,
2008-04,40610,
2008-05,40761,
2008-06,40883,
2008-07,40933,
2008-08,41002,
2008-09,41221,
2008-10,41316,
2008-11,41306,
2008-12,41068,
2009-01,40662,
2009-02,40649,
2009-03,40698,
2009-04,40804,
2009-05,40871,
2009-06,40896,
2009-07,40876,
2009-08,40945,
2009-09,41117,
2009-10,41131,
2009-11,41136,
2009-12,40922,
2010-01,40448,
2010-02,40409,
2010-03,40565,
2010-04,40775,
2010-05,40955,
2010-06,41079,
2010-07,41077,
2010-08,41196,
2010-09,41393,
2010-10,41471,
2010-11,41526,
2010-12,41348,
2011-01,40949,
2011-02,40987,
2011-03,41128,
2011-04,41329,
2011-05,41506,
2011-06,41639,
2011-07,41628,
2011-08,41764,
2011-09,41943,
2011-10,42017,
2011-11,42069,
2011-12,41888,
2012-01,41538,
2012-02,41513,
2012-03,41640,
2012-04,41802,
2012-05,41973,
2012-06,42069,
2012-07,42103,
2012-08,42208,
2012-09,42367,
2012-10,42463,
2012-11,42483,
2012-12,42237,
2013-01,41808,
2013-02,41809,
2013-03,41885,
2013-04,42044,
2013-05,42230,
2013-06,42321,
2013-07,42375,
2013-08,42460,
2013-09,42611,
2013-10,42680,
2013-11,42690,
2013-12,42463,
2014-01,42071,
2014-02,42110,
2014-03,42241,
2014-04,42444,
2014-05,42596,
2014-06,42717,
2014-07,42763,
2014-08,42817,
2014-09,42993,
2014-10,43100,
2014-11,43101,
2014-12,42867,
2015-01,42479,
"",Source: Federal Statistical Office.,
