"",BBK01.OEAH27R,BBK01.OEAH27R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:42,
2002-01,1.563,
2002-04,1.524,
2002-07,1.520,
2002-10,1.484,
2003-01,1.428,
2003-04,1.368,
2003-07,1.315,
2003-10,1.344,
2004-01,1.277,
2004-04,1.229,
2004-07,1.214,
2004-10,1.206,
2005-01,1.188,
2005-04,1.144,
2005-07,1.064,
2005-10,1.056,
2006-01,1.094,
2006-04,1.138,
2006-07,1.185,
2006-10,1.273,
2007-01,1.450,
2007-04,1.468,
2007-07,1.546,
2007-10,1.604,
2008-01,1.638,
2008-04,1.676,
2008-07,1.693,
2008-10,1.877,
2009-01,1.794,
2009-04,1.737,
2009-07,1.640,
2009-10,1.640,
2010-01,1.558,
2010-04,1.476,
2010-07,1.378,
2010-10,1.407,
2011-01,1.359,
2011-04,1.387,
2011-07,1.398,
2011-10,1.398,
2012-01,1.358,
2012-04,1.397,
2012-07,1.344,
2012-10,1.239,
2013-01,1.163,
2013-04,1.083,
2013-07,0.961,
2013-10,0.890,
2014-01,0.836,
2014-04,0.800,
2014-07,0.808,
