"",BBSF2.M.1.T.00000.DAC01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAC01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:15,
2009-09,29846,
2009-10,30711,
2009-11,32421,
2009-12,33721,
2010-01,33756,
2010-02,34044,
2010-03,35317,
2010-04,35750,
2010-05,35289,
2010-06,34764,
2010-07,35738,
2010-08,39702,
2010-09,40822,
2010-10,41784,
2010-11,42505,
2010-12,43527,
2011-01,43077,
2011-02,43822,
2011-03,43401,
2011-04,44138,
2011-05,43968,
2011-06,43930,
2011-07,45112,
2011-08,43207,
2011-09,42697,
2011-10,44113,
2011-11,42971,
2011-12,44360,
2012-01,45766,
2012-02,46450,
2012-03,46445,
2012-04,47053,
2012-05,46493,
2012-06,46517,
2012-07,57057,
2012-08,56814,
2012-09,57301,
2012-10,57807,
2012-11,58040,
2012-12,58759,
2013-01,59587,
2013-02,60418,
2013-03,61367,
2013-04,62492,
2013-05,62748,
2013-06,60305,
2013-07,61318,
2013-08,60940,
2013-09,61729,
2013-10,63635,
2013-11,64019,
2013-12,64447,
2014-01,64933,
2014-02,65720,
2014-03,66760,
2014-04,67344,
2014-05,68847,
2014-06,69683,
2014-07,70252,
2014-08,71311,
2014-09,71846,
2014-10,72067,
2014-11,74230,
