"",BBK01.OEAC19U,BBK01.OEAC19U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:44,
2002-01,0.270,
2002-04,0.265,
2002-07,0.243,
2002-10,0.213,
2003-01,0.222,
2003-04,0.218,
2003-07,0.195,
2003-10,0.166,
2004-01,0.184,
2004-04,0.184,
2004-07,0.174,
2004-10,0.140,
2005-01,0.168,
2005-04,0.168,
2005-07,0.161,
2005-10,0.134,
2006-01,0.151,
2006-04,0.155,
2006-07,0.144,
2006-10,0.118,
2007-01,0.135,
2007-04,0.133,
2007-07,0.130,
2007-10,0.107,
2008-01,0.130,
2008-04,0.125,
2008-07,0.118,
2008-10,0.098,
2009-01,0.136,
2009-04,0.144,
2009-07,0.134,
2009-10,0.118,
2010-01,0.135,
2010-04,0.138,
2010-07,0.124,
2010-10,0.102,
2011-01,0.137,
2011-04,0.136,
2011-07,0.128,
2011-10,0.106,
2012-01,0.137,
2012-04,0.136,
2012-07,0.124,
2012-10,0.102,
2013-01,0.140,
2013-04,0.134,
2013-07,0.127,
2013-10,0.102,
2014-01,0.108,
2014-04,0.112,
2014-07,0.097,
