"",BBK01.OEHB15R,BBK01.OEHB15R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:00,
2002-01,0.068,
2002-04,0.069,
2002-07,0.068,
2002-10,0.066,
2003-01,0.064,
2003-04,0.065,
2003-07,0.063,
2003-10,0.063,
2004-01,0.060,
2004-04,0.060,
2004-07,0.059,
2004-10,0.057,
2005-01,0.053,
2005-04,0.055,
2005-07,0.053,
2005-10,0.047,
2006-01,0.047,
2006-04,0.049,
2006-07,0.047,
2006-10,0.044,
2007-01,0.044,
2007-04,0.044,
2007-07,0.041,
2007-10,0.039,
2008-01,0.038,
2008-04,0.037,
2008-07,0.036,
2008-10,0.034,
2009-01,0.034,
2009-04,0.036,
2009-07,0.034,
2009-10,0.031,
2010-01,0.031,
2010-04,0.030,
2010-07,0.031,
2010-10,0.031,
2011-01,0.031,
2011-04,0.033,
2011-07,0.032,
2011-10,0.029,
2012-01,0.029,
2012-04,0.029,
2012-07,0.031,
2012-10,0.031,
2013-01,0.030,
2013-04,0.031,
2013-07,0.045,
2013-10,0.044,
2014-01,0.044,
2014-04,0.049,
2014-07,0.048,
