"",BBK01.OEAF25P,BBK01.OEAF25P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:16,
2002-01,0.422,
2002-04,0.420,
2002-07,0.412,
2002-10,0.399,
2003-01,0.400,
2003-04,0.398,
2003-07,0.385,
2003-10,0.375,
2004-01,0.364,
2004-04,0.363,
2004-07,0.351,
2004-10,0.334,
2005-01,0.324,
2005-04,0.323,
2005-07,0.318,
2005-10,0.310,
2006-01,0.308,
2006-04,0.304,
2006-07,0.304,
2006-10,0.304,
2007-01,0.303,
2007-04,0.300,
2007-07,0.304,
2007-10,0.296,
2008-01,0.298,
2008-04,0.297,
2008-07,0.291,
2008-10,0.279,
2009-01,0.283,
2009-04,0.281,
2009-07,0.279,
2009-10,0.271,
2010-01,0.266,
2010-04,0.291,
2010-07,0.292,
2010-10,0.291,
2011-01,0.291,
2011-04,0.289,
2011-07,0.284,
2011-10,0.273,
2012-01,0.276,
2012-04,0.281,
2012-07,0.278,
2012-10,0.271,
2013-01,0.278,
2013-04,0.280,
2013-07,0.288,
2013-10,0.282,
2014-01,0.281,
2014-04,0.279,
2014-07,0.277,
