"",BBFB1.Q.N.DE.O1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:37,
1991-01,227.064,
1991-04,225.068,
1991-07,223.446,
1991-10,219.891,
1992-01,191.042,
1992-04,186.186,
1992-07,166.057,
1992-10,139.352,
1993-01,111.206,
1993-04,111.143,
1993-07,108.114,
1993-10,111.606,
1994-01,191.830,
1994-04,207.861,
1994-07,204.451,
1994-10,202.449,
1995-01,145.073,
1995-04,131.923,
1995-07,132.491,
1995-10,126.116,
1996-01,173.985,
1996-04,213.660,
1996-07,187.242,
1996-10,183.907,
1997-01,151.362,
1997-04,164.302,
1997-07,204.048,
1997-10,186.522,
1998-01,85.658,
1998-04,137.479,
1998-07,106.141,
1998-10,111.380,
1999-01,79.400,
1999-04,65.957,
1999-07,42.815,
1999-10,94.283,
2000-01,130.632,
2000-04,100.357,
2000-07,139.527,
2000-10,167.940,
2001-01,174.931,
2001-04,129.428,
2001-07,124.910,
2001-10,157.066,
2002-01,152.140,
2002-04,151.545,
2002-07,155.851,
2002-10,164.181,
2003-01,153.282,
2003-04,155.749,
2003-07,169.052,
2003-10,171.047,
2004-01,230.345,
2004-04,215.682,
2004-07,223.248,
2004-10,229.169,
2005-01,279.519,
2005-04,267.864,
2005-07,287.572,
2005-10,272.085,
2006-01,94.071,
2006-04,82.175,
2006-07,96.591,
2006-10,109.049,
2007-01,166.550,
2007-04,162.606,
2007-07,157.260,
2007-10,154.809,
2008-01,270.764,
2008-04,136.338,
2008-07,147.926,
2008-10,255.684,
2009-01,277.449,
2009-04,144.758,
2009-07,240.757,
2009-10,263.508,
2010-01,214.005,
2010-04,196.111,
2010-07,198.823,
2010-10,233.375,
2011-01,63.778,
2011-04,66.512,
2011-07,101.140,
2011-10,87.398,
2012-01,98.007,
2012-04,69.558,
2012-07,118.783,
2012-10,112.924,
2013-01,114.423,
2013-04,105.365,
2013-07,170.166,
2013-10,141.043,
2014-01,117.447,Provisional value
2014-04,108.851,Provisional value
2014-07,243.771,Provisional value
