"",BBK01.OEXB05N,BBK01.OEXB05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:57,
2002-01,90.656,
2002-04,92.320,
2002-07,92.658,
2002-10,92.456,
2003-01,92.077,
2003-04,93.783,
2003-07,94.965,
2003-10,95.443,
2004-01,95.270,
2004-04,96.599,
2004-07,100.372,
2004-10,59.614,
2005-01,61.147,
2005-04,62.173,
2005-07,60.489,
2005-10,61.929,
2006-01,60.579,
2006-04,61.084,
2006-07,62.015,
2006-10,61.658,
2007-01,63.284,
2007-04,63.762,
2007-07,63.226,
2007-10,64.295,
2008-01,68.124,
2008-04,71.293,
2008-07,72.163,
2008-10,70.805,
2009-01,69.925,
2009-04,70.021,
2009-07,69.460,
2009-10,67.481,
2010-01,68.566,
2010-04,69.209,
2010-07,69.660,
2010-10,69.144,
2011-01,73.647,
2011-04,70.783,
2011-07,74.623,
2011-10,69.499,
2012-01,70.090,
2012-04,70.183,
2012-07,70.820,
2012-10,74.231,
2013-01,76.661,
2013-04,77.760,
2013-07,77.701,
2013-10,76.392,
2014-01,79.693,
2014-04,79.982,
2014-07,80.483,
