"",BBK01.OEAH76N,BBK01.OEAH76N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:38,
2002-01,0.156,
2002-04,0.111,
2002-07,0.074,
2002-10,0.055,
2003-01,0.048,
2003-04,0.060,
2003-07,0.093,
2003-10,0.072,
2004-01,0.044,
2004-04,0.044,
2004-07,0.053,
2004-10,0.123,
2005-01,0.157,
2005-04,0.153,
2005-07,0.138,
2005-10,0.123,
2006-01,0.126,
2006-04,0.158,
2006-07,0.157,
2006-10,0.175,
2007-01,0.263,
2007-04,0.419,
2007-07,0.459,
2007-10,0.452,
2008-01,0.329,
2008-04,0.265,
2008-07,0.472,
2008-10,0.564,
2009-01,1.215,
2009-04,1.392,
2009-07,1.562,
2009-10,1.468,
2010-01,1.492,
2010-04,1.013,
2010-07,0.725,
2010-10,0.711,
2011-01,0.522,
2011-04,0.575,
2011-07,0.776,
2011-10,0.802,
2012-01,0.857,
2012-04,0.972,
2012-07,0.990,
2012-10,0.974,
2013-01,1.346,
2013-04,1.389,
2013-07,1.400,
2013-10,1.629,
2014-01,1.467,
2014-04,1.313,
2014-07,1.081,
