"",BBK01.OEAF16O,BBK01.OEAF16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:58,
2002-01,0.127,
2002-04,0.127,
2002-07,0.135,
2002-10,0.133,
2003-01,0.132,
2003-04,0.125,
2003-07,0.127,
2003-10,0.130,
2004-01,0.130,
2004-04,0.135,
2004-07,0.135,
2004-10,0.133,
2005-01,0.132,
2005-04,0.134,
2005-07,0.140,
2005-10,0.133,
2006-01,0.131,
2006-04,0.126,
2006-07,0.121,
2006-10,0.117,
2007-01,0.120,
2007-04,0.116,
2007-07,0.110,
2007-10,0.104,
2008-01,0.107,
2008-04,0.105,
2008-07,0.110,
2008-10,0.106,
2009-01,0.118,
2009-04,0.096,
2009-07,0.103,
2009-10,0.111,
2010-01,0.105,
2010-04,0.100,
2010-07,0.089,
2010-10,0.086,
2011-01,0.084,
2011-04,0.090,
2011-07,0.098,
2011-10,0.101,
2012-01,0.245,
2012-04,0.284,
2012-07,0.198,
2012-10,0.130,
2013-01,0.112,
2013-04,0.102,
2013-07,0.100,
2013-10,0.085,
2014-01,0.082,
2014-04,0.084,
2014-07,0.098,
