"",BBK01.OEXK03V,BBK01.OEXK03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:16,
2002-01,0.191,
2002-04,0.187,
2002-07,0.188,
2002-10,0.195,
2003-01,0.197,
2003-04,0.187,
2003-07,0.208,
2003-10,0.195,
2004-01,0.176,
2004-04,0.139,
2004-07,0.136,
2004-10,0.140,
2005-01,0.143,
2005-04,0.145,
2005-07,0.099,
2005-10,0.104,
2006-01,0.157,
2006-04,0.140,
2006-07,0.144,
2006-10,0.143,
2007-01,0.150,
2007-04,0.153,
2007-07,0.150,
2007-10,0.152,
2008-01,0.164,
2008-04,0.173,
2008-07,0.180,
2008-10,0.137,
2009-01,0.042,
2009-04,0.027,
2009-07,0.018,
2009-10,0.014,
2010-01,0.014,
2010-04,0.015,
2010-07,0.014,
2010-10,0.012,
2011-01,0.012,
2011-04,0.048,
2011-07,0.048,
2011-10,0.049,
2012-01,0.023,
2012-04,0.021,
2012-07,0.028,
2012-10,0.026,
2013-01,0.026,
2013-04,0.026,
2013-07,0.026,
2013-10,0.019,
2014-01,0.018,
2014-04,0.016,
2014-07,0.016,
