"",BBK01.OEBK01P,BBK01.OEBK01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:52,
2002-01,0.098,
2002-04,0.097,
2002-07,0.096,
2002-10,0.094,
2003-01,0.098,
2003-04,0.093,
2003-07,0.090,
2003-10,0.092,
2004-01,0.101,
2004-04,0.103,
2004-07,0.104,
2004-10,0.098,
2005-01,0.106,
2005-04,0.109,
2005-07,0.116,
2005-10,0.114,
2006-01,0.122,
2006-04,0.119,
2006-07,0.116,
2006-10,0.115,
2007-01,0.114,
2007-04,0.115,
2007-07,0.123,
2007-10,0.131,
2008-01,0.133,
2008-04,0.140,
2008-07,0.140,
2008-10,0.137,
2009-01,0.128,
2009-04,0.134,
2009-07,0.137,
2009-10,0.138,
2010-01,0.135,
2010-04,0.135,
2010-07,0.139,
2010-10,0.144,
2011-01,0.140,
2011-04,0.150,
2011-07,0.151,
2011-10,0.147,
2012-01,0.152,
2012-04,0.150,
2012-07,0.156,
2012-10,0.152,
2013-01,0.169,
2013-04,0.176,
2013-07,0.181,
2013-10,0.184,
2014-01,0.187,
2014-04,0.176,
2014-07,0.178,
