"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.CY.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.CY.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Cyprus / All issuer sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:09,
2009-09,48,
2009-10,40,
2009-11,40,
2009-12,43,
2010-01,49,
2010-02,62,
2010-03,59,
2010-04,59,
2010-05,41,
2010-06,41,
2010-07,41,
2010-08,38,
2010-09,40,
2010-10,82,
2010-11,64,
2010-12,63,
2011-01,56,
2011-02,54,
2011-03,52,
2011-04,36,
2011-05,34,
2011-06,23,
2011-07,18,
2011-08,12,
2011-09,11,
2011-10,12,
2011-11,12,
2011-12,11,
2012-01,7,
2012-02,5,
2012-03,5,
2012-04,5,
2012-05,5,
2012-06,2,
2012-07,2,
2012-08,3,
2012-09,5,
2012-10,7,
2012-11,10,
2012-12,9,
2013-01,10,
2013-02,10,
2013-03,9,
2013-04,21,
2013-05,21,
2013-06,5,
2013-07,4,
2013-08,4,
2013-09,4,
2013-10,5,
2013-11,5,
2013-12,10,
2014-01,15,
2014-02,25,
2014-03,27,
2014-04,31,
2014-05,35,
2014-06,48,
2014-07,40,
2014-08,41,
2014-09,47,
2014-10,47,
2014-11,48,
