"",BBK01.OEBB10H,BBK01.OEBB10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:44,
2002-01,18.231,
2002-04,18.357,
2002-07,18.112,
2002-10,18.054,
2003-01,15.804,
2003-04,14.560,
2003-07,14.602,
2003-10,13.663,
2004-01,14.161,
2004-04,14.193,
2004-07,14.271,
2004-10,12.897,
2005-01,12.855,
2005-04,13.170,
2005-07,14.521,
2005-10,11.951,
2006-01,19.531,
2006-04,15.264,
2006-07,20.397,
2006-10,16.141,
2007-01,19.834,
2007-04,16.841,
2007-07,21.728,
2007-10,16.964,
2008-01,23.721,
2008-04,30.506,
2008-07,30.953,
2008-10,13.605,
2009-01,17.706,
2009-04,20.184,
2009-07,20.752,
2009-10,17.036,
2010-01,17.681,
2010-04,15.706,
2010-07,18.085,
2010-10,14.995,
2011-01,14.157,
2011-04,15.908,
2011-07,12.596,
2011-10,11.048,
2012-01,19.120,
2012-04,15.367,
2012-07,20.135,
2012-10,14.179,
2013-01,20.379,
2013-04,22.976,
2013-07,11.138,
2013-10,11.049,
2014-01,11.404,
2014-04,11.302,
2014-07,12.406,
