"",BBK01.OEBL02U,BBK01.OEBL02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:11,
2002-01,0.783,
2002-04,0.896,
2002-07,0.875,
2002-10,0.919,
2003-01,0.888,
2003-04,0.877,
2003-07,0.871,
2003-10,0.932,
2004-01,0.920,
2004-04,0.921,
2004-07,0.907,
2004-10,0.882,
2005-01,1.062,
2005-04,1.055,
2005-07,1.055,
2005-10,1.141,
2006-01,1.140,
2006-04,1.137,
2006-07,1.083,
2006-10,1.168,
2007-01,1.187,
2007-04,1.251,
2007-07,1.296,
2007-10,1.379,
2008-01,1.302,
2008-04,1.320,
2008-07,1.355,
2008-10,1.534,
2009-01,1.606,
2009-04,1.566,
2009-07,1.630,
2009-10,1.689,
2010-01,1.759,
2010-04,1.775,
2010-07,1.812,
2010-10,1.900,
2011-01,1.859,
2011-04,1.900,
2011-07,1.964,
2011-10,2.024,
2012-01,2.021,
2012-04,2.053,
2012-07,1.999,
2012-10,2.125,
2013-01,2.098,
2013-04,2.157,
2013-07,2.152,
2013-10,2.198,
2014-01,2.206,
2014-04,2.257,
2014-07,2.303,
