"",BBK01.OEAD06L,BBK01.OEAD06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:52,
2002-01,3.922,
2002-04,3.646,
2002-07,3.747,
2002-10,3.260,
2003-01,3.292,
2003-04,3.544,
2003-07,3.447,
2003-10,3.417,
2004-01,3.337,
2004-04,3.283,
2004-07,3.445,
2004-10,3.111,
2005-01,2.857,
2005-04,3.042,
2005-07,4.257,
2005-10,2.813,
2006-01,3.121,
2006-04,3.134,
2006-07,4.155,
2006-10,3.515,
2007-01,3.425,
2007-04,3.652,
2007-07,3.617,
2007-10,3.756,
2008-01,6.786,
2008-04,6.539,
2008-07,6.453,
2008-10,7.622,
2009-01,8.186,
2009-04,8.014,
2009-07,7.939,
2009-10,6.675,
2010-01,6.791,
2010-04,6.540,
2010-07,6.369,
2010-10,6.943,
2011-01,6.655,
2011-04,5.281,
2011-07,4.968,
2011-10,5.306,
2012-01,5.260,
2012-04,4.547,
2012-07,3.533,
2012-10,2.841,
2013-01,2.908,
2013-04,2.779,
2013-07,2.644,
2013-10,2.594,
2014-01,2.754,
2014-04,2.860,
2014-07,2.509,
