"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.US.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.US.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / United States / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:05,
2009-09,3129,
2009-10,3263,
2009-11,3424,
2009-12,3472,
2010-01,4222,
2010-02,3993,
2010-03,3924,
2010-04,4350,
2010-05,5034,
2010-06,5199,
2010-07,4743,
2010-08,5139,
2010-09,4754,
2010-10,4986,
2010-11,5252,
2010-12,4983,
2011-01,4663,
2011-02,4562,
2011-03,4647,
2011-04,4746,
2011-05,4914,
2011-06,4615,
2011-07,4793,
2011-08,5064,
2011-09,5465,
2011-10,5163,
2011-11,5781,
2011-12,6299,
2012-01,6508,
2012-02,6520,
2012-03,6624,
2012-04,7336,
2012-05,8160,
2012-06,7930,
2012-07,8387,
2012-08,8217,
2012-09,7724,
2012-10,7750,
2012-11,7613,
2012-12,7353,
2013-01,7368,
2013-02,7778,
2013-03,8083,
2013-04,8454,
2013-05,8559,
2013-06,8509,
2013-07,8993,
2013-08,8862,
2013-09,8693,
2013-10,8249,
2013-11,11546,
2013-12,10965,
2014-01,11762,
2014-02,8372,
2014-03,8440,
2014-04,8206,
2014-05,8559,
2014-06,8575,
2014-07,8964,
2014-08,9696,
2014-09,12458,
2014-10,12664,
2014-11,12804,
