"",BBK01.OEAH24G,BBK01.OEAH24G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:14,
2002-01,10.636,
2002-04,10.648,
2002-07,10.660,
2002-10,10.370,
2003-01,10.097,
2003-04,9.952,
2003-07,9.717,
2003-10,9.597,
2004-01,9.439,
2004-04,9.456,
2004-07,9.444,
2004-10,9.409,
2005-01,9.183,
2005-04,9.071,
2005-07,8.819,
2005-10,8.680,
2006-01,8.403,
2006-04,8.149,
2006-07,7.918,
2006-10,7.597,
2007-01,7.108,
2007-04,6.709,
2007-07,6.550,
2007-10,6.322,
2008-01,6.115,
2008-04,5.875,
2008-07,5.839,
2008-10,5.792,
2009-01,5.642,
2009-04,5.905,
2009-07,6.335,
2009-10,7.196,
2010-01,7.626,
2010-04,7.763,
2010-07,7.813,
2010-10,7.939,
2011-01,8.096,
2011-04,8.498,
2011-07,8.545,
2011-10,8.570,
2012-01,8.283,
2012-04,7.948,
2012-07,7.608,
2012-10,7.269,
2013-01,7.066,
2013-04,6.694,
2013-07,6.413,
2013-10,6.275,
2014-01,6.012,
2014-04,5.580,
2014-07,5.317,
