"",BBFB1.M.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Current account / Balance (Credits minus Debits) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:13,
1991-01,-0.73,
1991-02,-1.56,
1991-03,-4.21,
1991-04,-2.02,
1991-05,-2.99,
1991-06,-2.48,
1991-07,-2.18,
1991-08,-0.85,
1991-09,-1.18,
1991-10,-2.02,
1991-11,-1.34,
1991-12,1.03,
1992-01,-2.29,
1992-02,-1.63,
1992-03,-1.02,
1992-04,-1.57,
1992-05,-2.37,
1992-06,-2.02,
1992-07,-2.59,
1992-08,0.40,
1992-09,-0.43,
1992-10,-1.14,
1992-11,-2.39,
1992-12,-1.96,
1993-01,-1.72,
1993-02,-0.51,
1993-03,-0.53,
1993-04,-2.93,
1993-05,-1.83,
1993-06,-0.77,
1993-07,-2.37,
1993-08,-2.43,
1993-09,-0.67,
1993-10,-1.28,
1993-11,-2.34,
1993-12,-0.53,
1994-01,-1.64,
1994-02,-2.86,
1994-03,-1.77,
1994-04,-2.14,
1994-05,-2.44,
1994-06,-1.14,
1994-07,-3.74,
1994-08,-1.32,
1994-09,-1.99,
1994-10,-1.15,
1994-11,-2.99,
1994-12,-3.13,
1995-01,0.00,
1995-02,-2.08,
1995-03,-3.54,
1995-04,-1.64,
1995-05,-2.28,
1995-06,-2.20,
1995-07,-2.34,
1995-08,-2.18,
1995-09,-0.27,
1995-10,-2.26,
1995-11,-1.75,
1995-12,-1.67,
1996-01,-2.13,
1996-02,0.03,
1996-03,-1.43,
1996-04,-2.01,
1996-05,-1.00,
1996-06,-3.35,
1996-07,-1.64,
1996-08,-1.57,
1996-09,0.69,
1996-10,0.44,
1996-11,-0.81,
1996-12,-0.47,
1997-01,-4.31,
1997-02,-1.79,
1997-03,-0.57,
1997-04,-1.12,
1997-05,-1.67,
1997-06,-1.32,
1997-07,-1.25,
1997-08,-1.04,
1997-09,1.42,
1997-10,-1.75,
1997-11,-0.89,
1997-12,4.71,
1998-01,-3.33,
1998-02,-1.59,
1998-03,0.08,
1998-04,-1.83,
1998-05,0.51,
1998-06,-1.64,
1998-07,-0.74,
1998-08,-2.12,
1998-09,-0.73,
1998-10,-2.55,
1998-11,0.13,
1998-12,-1.43,
1999-01,-4.50,
1999-02,-3.19,
1999-03,-2.24,
1999-04,-0.42,
1999-05,-3.72,
1999-06,-1.08,
1999-07,-1.11,
1999-08,-4.62,
1999-09,-2.21,
1999-10,-1.68,
1999-11,-1.43,
1999-12,-3.66,
2000-01,-3.60,
2000-02,-1.87,
2000-03,-1.21,
2000-04,-2.59,
2000-05,-3.20,
2000-06,-2.23,
2000-07,-2.33,
2000-08,-6.81,
2000-09,-3.28,
2000-10,-2.08,
2000-11,-5.00,
2000-12,-4.04,
2001-01,-3.25,
2001-02,-1.52,
2001-03,-2.06,
2001-04,-2.95,
2001-05,-2.04,
2001-06,-2.20,
2001-07,-1.02,
2001-08,1.14,
2001-09,0.26,
2001-10,1.83,
2001-11,-0.10,
2001-12,5.31,
2002-01,3.32,
2002-02,2.13,
2002-03,1.35,
2002-04,1.59,
2002-05,2.55,
2002-06,2.99,
2002-07,4.03,
2002-08,4.90,
2002-09,5.80,
2002-10,3.61,
2002-11,6.30,
2002-12,4.10,
2003-01,-0.97,
2003-02,1.44,
2003-03,1.07,
2003-04,0.48,
2003-05,2.35,
2003-06,1.99,
2003-07,3.65,
2003-08,3.87,
2003-09,4.97,
2003-10,3.79,
2003-11,3.96,
2003-12,4.94,
2004-01,5.86,
2004-02,6.70,
2004-03,8.20,
2004-04,9.32,
2004-05,11.51,
2004-06,8.31,
2004-07,8.10,
2004-08,8.60,
2004-09,7.68,
2004-10,9.04,
2004-11,7.67,
2004-12,7.87,
2005-01,6.99,
2005-02,9.93,
2005-03,9.61,
2005-04,7.02,
2005-05,9.36,
2005-06,8.91,
2005-07,9.09,
2005-08,9.61,
2005-09,10.36,
2005-10,8.69,
2005-11,8.82,
2005-12,6.69,
2006-01,10.23,
2006-02,9.64,
2006-03,6.09,
2006-04,12.32,
2006-05,9.53,
2006-06,10.89,
2006-07,10.15,
2006-08,11.97,
2006-09,12.82,
2006-10,15.78,
2006-11,15.04,
2006-12,11.70,
2007-01,14.38,
2007-02,10.69,
2007-03,14.18,
2007-04,15.32,
2007-05,16.21,
2007-06,14.31,
2007-07,14.16,
2007-08,14.26,
2007-09,16.63,
2007-10,15.48,
2007-11,15.89,
2007-12,12.97,
2008-01,15.21,
2008-02,14.06,
2008-03,13.70,
2008-04,13.25,
2008-05,13.41,
2008-06,13.99,
2008-07,9.94,
2008-08,12.20,
2008-09,11.30,
2008-10,13.25,
2008-11,7.48,
2008-12,9.46,
2009-01,7.80,
2009-02,10.75,
2009-03,9.60,
2009-04,9.30,
2009-05,11.04,
2009-06,12.27,
2009-07,15.21,
2009-08,13.05,
2009-09,10.50,
2009-10,11.22,
2009-11,14.63,
2009-12,17.48,
2010-01,10.84,
2010-02,12.62,
2010-03,11.55,
2010-04,12.70,
2010-05,9.88,
2010-06,10.01,
2010-07,11.29,
2010-08,10.91,
2010-09,13.04,
2010-10,14.02,
2010-11,11.90,
2010-12,12.98,
2011-01,12.86,
2011-02,11.96,
2011-03,15.86,
2011-04,13.12,
2011-05,11.92,
2011-06,12.71,
2011-07,12.01,
2011-08,14.41,
2011-09,15.54,
2011-10,13.31,
2011-11,15.06,
2011-12,13.96,
2012-01,16.75,
2012-02,15.69,
2012-03,14.56,
2012-04,15.39,
2012-05,15.50,
2012-06,18.35,
2012-07,18.27,
2012-08,19.03,
2012-09,16.56,
2012-10,15.91,
2012-11,15.91,
2012-12,16.48,
2013-01,14.93,
2013-02,14.13,
2013-03,18.18,
2013-04,16.64,
2013-05,16.32,
2013-06,15.80,
2013-07,13.15,
2013-08,14.02,
2013-09,16.44,
2013-10,16.66,
2013-11,18.36,
2013-12,15.59,
2014-01,17.58,
2014-02,16.33,Provisional value
2014-03,17.61,Provisional value
2014-04,17.38,Provisional value
2014-05,16.59,Provisional value
2014-06,16.92,Provisional value
2014-07,20.65,Provisional value
2014-08,17.85,Provisional value
2014-09,19.79,
2014-10,22.01,
2014-11,16.49,
2014-12,19.38,
