"",BBK01.CEBR0C,BBK01.CEBR0C_FLAGS
"",longer-term time deposits debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:08,
1991-01,89.3,
1991-04,90.9,
1991-07,92.1,
1991-10,95.3,
1992-01,96.6,
1992-04,98.8,
1992-07,99.8,
1992-10,89.2,
1993-01,90.0,
1993-04,90.5,
1993-07,91.1,
1993-10,91.8,
1994-01,93.2,
1994-04,93.9,
1994-07,95.5,
1994-10,96.5,
1995-01,95.7,
1995-04,96.9,
1995-07,98.0,
1995-10,99.2,
1996-01,99.7,
1996-04,99.8,
1996-07,100.3,
1996-10,101.5,
1997-01,101.9,
1997-04,100.5,
1997-07,100.6,
1997-10,101.7,
1998-01,101.7,
1998-04,101.2,
1998-07,102.0,
1998-10,99.4,
1999-01,97.3,
1999-04,96.3,
1999-07,95.8,
1999-10,97.8,
2000-01,98.5,
2000-04,99.4,
2000-07,100.2,
2000-10,100.4,
2001-01,99.9,
2001-04,100.2,
2001-07,99.8,
2001-10,100.0,
2002-01,99.8,
2002-04,98.4,
2002-07,97.6,
2002-10,97.9,
2003-01,96.3,
2003-04,95.8,
2003-07,92.7,
2003-10,91.9,
2004-01,89.1,
2004-04,87.7,
2004-07,85.5,
2004-10,85.8,
2005-01,83.9,
2005-04,82.7,
2005-07,79.1,
2005-10,78.9,
2006-01,76.1,
2006-04,75.7,
2006-07,74.6,
2006-10,75.4,
2007-01,77.0,
2007-04,77.6,
2007-07,76.8,
2007-10,77.6,
2008-01,74.9,
2008-04,75.4,
2008-07,74.7,
2008-10,72.5,
2009-01,72.6,
2009-04,72.2,
2009-07,73.4,
2009-10,74.2,
2010-01,75.7,
2010-04,77.4,
2010-07,76.9,
2010-10,96.6,
2011-01,87.7,
2011-04,85.9,
2011-07,85.6,
2011-10,85.8,
2012-01,85.6,
2012-04,94.6,
2012-07,94.3,
2012-10,92.7,
2013-01,92.4,
2013-04,91.5,
2013-07,84.9,
2013-10,81.4,
2014-01,78.7,
