"",BBK01.OELB13O,BBK01.OELB13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:32,
2002-01,6.159,
2002-04,6.176,
2002-07,6.157,
2002-10,6.124,
2003-01,6.067,
2003-04,6.090,
2003-07,6.111,
2003-10,6.071,
2004-01,6.024,
2004-04,6.032,
2004-07,6.003,
2004-10,5.972,
2005-01,5.933,
2005-04,5.946,
2005-07,5.969,
2005-10,5.967,
2006-01,5.964,
2006-04,6.005,
2006-07,6.001,
2006-10,6.003,
2007-01,6.037,
2007-04,6.065,
2007-07,6.059,
2007-10,5.921,
2008-01,5.945,
2008-04,6.011,
2008-07,6.025,
2008-10,6.078,
2009-01,6.096,
2009-04,6.213,
2009-07,6.237,
2009-10,6.258,
2010-01,6.262,
2010-04,6.365,
2010-07,6.366,
2010-10,6.353,
2011-01,6.325,
2011-04,6.360,
2011-07,6.369,
2011-10,6.386,
2012-01,6.408,
2012-04,7.088,
2012-07,7.107,
2012-10,7.107,
2013-01,7.104,
2013-04,7.111,
2013-07,7.250,
2013-10,7.230,
2014-01,7.332,
2014-04,7.357,
2014-07,7.381,
