"",BBEX3.M.ILS.EUR.BB.AC.A01,BBEX3.M.ILS.EUR.BB.AC.A01_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = ILS ... / Israel,
unit,ILS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:33,
2000-01,3.9990,
2000-02,3.9166,
2000-03,3.8383,
2000-04,3.6669,
2000-05,3.8780,
2000-06,3.9017,
2000-07,3.7785,
2000-08,3.5642,
2000-09,3.5270,
2000-10,3.4817,
2000-11,3.5544,
2000-12,3.7620,
2001-01,3.8482,
2001-02,3.8028,
2001-03,3.7112,
2001-04,3.6747,
2001-05,3.5073,
2001-06,3.5362,
2001-07,3.6841,
2001-08,3.9031,
2001-09,3.9780,
2001-10,3.8682,
2001-11,3.7674,
2001-12,3.8746,
2002-01,3.9766,
2002-02,4.0033,
2002-03,4.1046,
2002-04,4.4112,
2002-05,4.6198,
2002-06,4.7431,
2002-07,4.5814,
2002-08,4.5847,
2002-09,4.8117,
2002-10,4.7022,
2002-11,4.6141,
2002-12,4.9708,
2003-01,5.2176,
2003-02,5.1962,
2003-03,5.1108,
2003-04,5.0679,
2003-05,5.1921,
2003-06,4.9392,
2003-07,5.0148,
2003-08,4.8560,
2003-09,5.1716,
2003-10,5.2222,
2003-11,5.3309,
2003-12,5.5424,
2004-01,5.5907,
2004-02,5.5731,
2004-03,5.5183,
2004-04,5.4270,
2004-05,5.5583,
2004-06,5.4678,
2004-07,5.4365,
2004-08,5.4585,
2004-09,5.5601,
2004-10,5.6782,
2004-11,5.8001,
2004-12,5.8922,
2005-01,5.7172,
2005-02,5.7734,
2005-03,5.6506,
2005-04,5.6594,
2005-05,5.4434,
2005-06,5.5315,
2005-07,5.4722,
2005-08,5.5385,
2005-09,5.5427,
2005-10,5.5767,
2005-11,5.4893,
2005-12,5.4334,
2006-01,5.6533,
2006-02,5.5867,
2006-03,5.6513,
2006-04,5.6332,
2006-05,5.8086,
2006-06,5.6547,
2006-07,5.6093,
2006-08,5.6104,
2006-09,5.4544,
2006-10,5.4420,
2006-11,5.5918,
2006-12,5.5677,
2007-01,5.5269,
2007-02,5.5609,
2007-03,5.5515,
2007-04,5.4808,
2007-05,5.4311,
2007-06,5.7279,
2007-07,5.8852,
2007-08,5.6548,
2007-09,5.6979,
2007-10,5.7126,
2007-11,5.6541,
2007-12,5.6539,
2008-01,5.3906,
2008-02,5.5119,
2008-03,5.6214,
2008-04,5.3439,
2008-05,5.0274,
2008-06,5.2764,
2008-07,5.4429,
2008-08,5.2827,
2008-09,4.9497,
2008-10,4.8202,
2008-11,5.0048,
2008-12,5.2919,
2009-01,5.1796,
2009-02,5.2591,
2009-03,5.5756,
2009-04,5.5299,
2009-05,5.5237,
2009-06,5.5142,
2009-07,5.3731,
2009-08,5.4395,
2009-09,5.5034,
2009-10,5.5515,
2009-11,5.7059,
2009-12,5.4524,
2010-01,5.1972,
2010-02,5.1347,
2010-03,4.9903,
2010-04,4.9472,
2010-05,4.7579,
2010-06,4.7639,
2010-07,4.9333,
2010-08,4.8417,
2010-09,4.9517,
2010-10,5.0428,
2010-11,4.7892,
2010-12,4.7321,
2011-01,5.0840,
2011-02,5.0148,
2011-03,4.9439,
2011-04,5.0359,
2011-05,4.9380,
2011-06,4.9439,
2011-07,4.8944,
2011-08,5.1390,
2011-09,5.0582,
2011-10,5.0465,
2011-11,5.0697,
2011-12,4.9453,
2012-01,4.9161,
2012-02,5.0650,
2012-03,4.9570,
2012-04,4.9560,
2012-05,4.8237,
2012-06,4.9453,
2012-07,4.9064,
2012-08,5.0753,
2012-09,5.0603,
2012-10,5.0403,
2012-11,4.9541,
2012-12,4.9258,
2013-01,5.0517,
2013-02,4.8670,
2013-03,4.6679,
2013-04,4.6973,
2013-05,4.8020,
2013-06,4.7386,
2013-07,4.7335,
2013-08,4.7712,
2013-09,4.7734,
2013-10,4.8040,
2013-11,4.7933,
2013-12,4.7880,
2014-01,4.7554,
2014-02,4.8203,
2014-03,4.8095,
2014-04,4.8016,
2014-05,4.7256,
2014-06,4.6960,
2014-07,4.5898,
2014-08,4.7057,
2014-09,4.6474,
2014-10,4.7545,
2014-11,4.8592,
2014-12,4.7200,
2015-01,4.4475,
2015-02,4.4816,
"","General: Up to the end of 2010, ECB indicative rates. Since January 2011 euro foreign exchange reference rates of the ECB, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
