"",BBK01.OEYB16P,BBK01.OEYB16P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:59,
2002-01,0.383,
2002-04,0.385,
2002-07,0.388,
2002-10,0.404,
2003-01,0.407,
2003-04,0.414,
2003-07,0.466,
2003-10,0.489,
2004-01,0.495,
2004-04,0.506,
2004-07,0.504,
2004-10,0.538,
2005-01,0.531,
2005-04,0.558,
2005-07,0.554,
2005-10,0.520,
2006-01,0.520,
2006-04,0.516,
2006-07,0.517,
2006-10,0.519,
2007-01,0.516,
2007-04,0.524,
2007-07,0.522,
2007-10,0.513,
2008-01,0.512,
2008-04,0.435,
2008-07,0.432,
2008-10,0.420,
2009-01,0.413,
2009-04,0.402,
2009-07,0.399,
2009-10,0.388,
2010-01,0.376,
2010-04,0.378,
2010-07,0.348,
2010-10,0.335,
2011-01,0.327,
2011-04,0.321,
2011-07,0.313,
2011-10,0.295,
2012-01,0.289,
2012-04,0.285,
2012-07,0.274,
2012-10,0.275,
2013-01,0.242,
2013-04,0.233,
2013-07,0.227,
2013-10,0.219,
2014-01,0.210,
2014-04,0.201,
2014-07,0.203,
