"",BBK01.OEAA55O,BBK01.OEAA55O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:46,
2002-01,0.647,
2002-04,0.218,
2002-07,0.264,
2002-10,-0.861,
2003-01,0.492,
2003-04,-0.572,
2003-07,-0.127,
2003-10,-0.707,
2004-01,-0.029,
2004-04,-0.276,
2004-07,-0.048,
2004-10,0.899,
2005-01,3.758,
2005-04,3.622,
2005-07,3.510,
2005-10,3.629,
2006-01,3.588,
2006-04,3.815,
2006-07,3.844,
2006-10,3.970,
2007-01,4.063,
2007-04,4.308,
2007-07,4.702,
2007-10,5.097,
2008-01,5.196,
2008-04,5.518,
2008-07,4.919,
2008-10,4.396,
2009-01,4.285,
2009-04,4.318,
2009-07,4.511,
2009-10,5.594,
2010-01,5.834,
2010-04,5.073,
2010-07,4.955,
2010-10,5.058,
2011-01,5.030,
2011-04,5.156,
2011-07,5.922,
2011-10,5.890,
2012-01,4.791,
2012-04,4.939,
2012-07,4.644,
2012-10,5.232,
2013-01,4.952,
2013-04,4.785,
2013-07,5.059,
2013-10,4.956,
2014-01,4.624,
2014-04,3.827,
2014-07,3.637,
