"",BBK01.OEHB08P,BBK01.OEHB08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:35,
2002-01,6.794,
2002-04,6.827,
2002-07,6.875,
2002-10,6.960,
2003-01,6.985,
2003-04,6.995,
2003-07,7.071,
2003-10,7.148,
2004-01,7.151,
2004-04,7.172,
2004-07,7.226,
2004-10,7.272,
2005-01,7.301,
2005-04,7.331,
2005-07,7.389,
2005-10,7.423,
2006-01,7.393,
2006-04,7.414,
2006-07,7.483,
2006-10,7.587,
2007-01,7.563,
2007-04,7.594,
2007-07,7.675,
2007-10,7.681,
2008-01,7.656,
2008-04,7.697,
2008-07,7.779,
2008-10,7.861,
2009-01,7.908,
2009-04,7.908,
2009-07,7.937,
2009-10,8.072,
2010-01,8.074,
2010-04,8.189,
2010-07,8.287,
2010-10,8.415,
2011-01,8.423,
2011-04,8.462,
2011-07,8.535,
2011-10,8.569,
2012-01,8.594,
2012-04,8.718,
2012-07,8.830,
2012-10,8.924,
2013-01,8.981,
2013-04,9.100,
2013-07,9.160,
2013-10,9.204,
2014-01,9.181,
2014-04,9.218,
2014-07,9.334,
