"",BBK01.OEXI03G,BBK01.OEXI03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:40,
2002-01,30.478,
2002-04,31.324,
2002-07,31.250,
2002-10,31.037,
2003-01,29.128,
2003-04,30.300,
2003-07,28.814,
2003-10,28.259,
2004-01,26.891,
2004-04,25.861,
2004-07,25.728,
2004-10,25.765,
2005-01,9.365,
2005-04,9.086,
2005-07,2.423,
2005-10,3.190,
2006-01,3.104,
2006-04,3.061,
2006-07,2.783,
2006-10,2.695,
2007-01,3.031,
2007-04,3.359,
2007-07,3.842,
2007-10,4.353,
2008-01,5.191,
2008-04,5.878,
2008-07,6.449,
2008-10,7.252,
2009-01,11.282,
2009-04,11.903,
2009-07,11.393,
2009-10,11.369,
2010-01,11.132,
2010-04,10.366,
2010-07,9.957,
2010-10,10.110,
2011-01,10.117,
2011-04,10.170,
2011-07,12.504,
2011-10,13.388,
2012-01,13.095,
2012-04,13.837,
2012-07,13.555,
2012-10,14.379,
2013-01,14.093,
2013-04,13.341,
2013-07,13.142,
2013-10,13.581,
2014-01,14.152,
2014-04,14.211,
2014-07,14.621,
