"",BBK01.OEAH94O,BBK01.OEAH94O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:23,
2002-01,0.154,
2002-04,0.171,
2002-07,0.166,
2002-10,0.205,
2003-01,0.201,
2003-04,0.199,
2003-07,0.198,
2003-10,0.158,
2004-01,0.156,
2004-04,0.150,
2004-07,0.150,
2004-10,0.148,
2005-01,0.140,
2005-04,0.137,
2005-07,0.135,
2005-10,0.134,
2006-01,0.135,
2006-04,0.150,
2006-07,0.111,
2006-10,0.115,
2007-01,0.122,
2007-04,0.126,
2007-07,0.123,
2007-10,0.133,
2008-01,0.130,
2008-04,0.131,
2008-07,0.159,
2008-10,0.159,
2009-01,0.154,
2009-04,0.156,
2009-07,0.170,
2009-10,0.164,
2010-01,0.178,
2010-04,0.191,
2010-07,0.200,
2010-10,0.205,
2011-01,0.206,
2011-04,0.205,
2011-07,0.207,
2011-10,0.205,
2012-01,0.202,
2012-04,0.198,
2012-07,0.186,
2012-10,0.176,
2013-01,0.175,
2013-04,0.167,
2013-07,0.139,
2013-10,0.129,
2014-01,0.111,
2014-04,0.103,
2014-07,0.096,
