"",BBK01.CEFZ10,BBK01.CEFZ10_FLAGS
"","Other accounts payable, excluding trade credits and advances                                          debtor: Non-financial corporations creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:19,
1999-01,182.6,
1999-04,184.9,
1999-07,182.8,
1999-10,244.9,
2000-01,238.3,
2000-04,263.7,
2000-07,281.5,
2000-10,253.2,
2001-01,268.9,
2001-04,257.4,
2001-07,250.0,
2001-10,244.0,
2002-01,250.4,
2002-04,239.2,
2002-07,247.3,
2002-10,246.4,
2003-01,244.1,
2003-04,219.4,
2003-07,219.7,
2003-10,234.3,
2004-01,245.9,
2004-04,236.1,
2004-07,238.6,
2004-10,250.0,
2005-01,237.0,
2005-04,240.5,
2005-07,243.8,
2005-10,248.9,
2006-01,253.7,
2006-04,245.3,
2006-07,250.5,
2006-10,271.5,
2007-01,281.9,
2007-04,291.2,
2007-07,303.7,
2007-10,309.6,
2008-01,313.5,
2008-04,315.5,
2008-07,325.9,
2008-10,355.7,
2009-01,419.3,
2009-04,333.5,
2009-07,345.3,
2009-10,353.7,
2010-01,353.2,
2010-04,361.8,
2010-07,324.8,
2010-10,286.5,
2011-01,270.2,
2011-04,274.5,
2011-07,249.5,
2011-10,246.6,
2012-01,230.1,
2012-04,257.9,
2012-07,254.1,
2012-10,236.2,
2013-01,254.4,
2013-04,232.9,
2013-07,224.3,
2013-10,238.8,
2014-01,218.7,
2014-04,219.6,
2014-07,238.6,
