"",BBK01.QUY060,BBK01.QUY060_FLAGS
"",Consolidated German banks: Loans and advances to non- residents / Kuwait / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:38:57,
2002-03,0.722,
2002-04,0.612,
2002-05,0.585,
2002-06,0.624,
2002-07,0.661,
2002-08,0.686,
2002-09,0.774,
2002-10,0.701,
2002-11,0.625,
2002-12,0.577,
2003-01,0.542,
2003-02,0.547,
2003-03,0.566,
2003-04,0.507,
2003-05,0.478,
2003-06,0.444,
2003-07,0.565,
2003-08,0.786,
2003-09,0.806,
2003-10,0.779,
2003-11,0.781,
2003-12,0.912,
2004-01,0.864,
2004-02,0.772,
2004-03,0.866,
2004-04,0.842,
2004-05,0.855,
2004-06,0.916,
2004-07,0.936,
2004-08,0.903,
2004-09,1.006,
2004-10,1.023,
2004-11,1.075,
2004-12,1.094,
2005-01,1.057,
2005-02,1.162,
2005-03,1.094,
2005-04,1.964,
2005-05,1.103,
2005-06,1.071,
2005-07,1.009,
2005-08,0.967,
2005-09,1.018,
2005-10,0.893,
2005-11,1.017,
2005-12,0.924,
2006-01,0.922,
2006-02,0.860,
2006-03,0.863,
2006-04,0.908,
2006-05,0.811,
2006-06,1.043,
2006-07,1.069,
2006-08,1.129,
2006-09,1.196,
2006-10,1.041,
2006-11,1.042,
2006-12,1.114,
2007-01,1.054,
2007-02,1.193,
2007-03,1.320,
2007-04,1.220,
2007-05,1.323,
2007-06,1.341,
2007-07,1.358,
2007-08,1.526,
2007-09,1.663,
2007-10,1.879,
2007-11,1.944,
2007-12,2.225,
2008-01,1.987,
2008-02,2.095,
2008-03,2.067,
2008-04,2.070,
2008-05,2.038,
2008-06,2.208,
2008-07,2.264,
2008-08,2.553,
2008-09,2.681,
2008-10,2.869,
2008-11,2.923,
2008-12,2.535,
2009-01,2.715,
2009-02,2.500,
2009-03,2.153,
2009-04,1.869,
2009-05,1.655,
2009-06,1.465,
2009-07,1.308,
2009-08,1.238,
2009-09,1.130,
2009-10,1.111,
2009-11,0.929,
2009-12,0.966,
2010-01,1.000,
2010-02,1.042,
2010-03,1.079,
2010-04,1.048,
2010-05,0.892,
2010-06,0.841,
2010-07,0.828,
2010-08,0.810,
2010-09,0.759,
2010-10,0.761,
2010-11,0.797,
2010-12,0.696,
2011-01,0.657,
2011-02,0.656,
2011-03,0.662,
2011-04,0.686,
2011-05,0.684,
2011-06,0.736,
2011-07,0.851,
2011-08,0.833,
2011-09,0.881,
2011-10,0.831,
2011-11,0.819,
2011-12,0.847,
2012-01,0.808,
2012-02,0.781,
2012-03,1.726,
2012-04,0.700,
2012-05,0.828,
2012-06,0.728,
2012-07,0.684,
2012-08,0.669,
2012-09,0.640,
2012-10,0.550,
2012-11,0.646,
2012-12,0.490,
2013-01,0.520,
2013-02,0.607,
2013-03,0.813,
2013-04,1.565,
2013-05,2.409,
2013-06,2.497,
2013-07,2.362,
2013-08,2.391,
2013-09,2.155,
2013-10,2.078,
2013-11,1.826,
2013-12,1.859,
2014-01,2.022,
2014-02,1.941,
2014-03,1.876,
2014-04,2.051,
2014-05,1.993,
2014-06,1.974,
2014-07,2.007,
2014-08,1.906,
2014-09,1.731,
2014-10,1.317,
