"",BBK01.OELI03G,BBK01.OELI03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:38,
2002-01,16.054,
2002-04,16.010,
2002-07,16.144,
2002-10,16.493,
2003-01,15.951,
2003-04,15.323,
2003-07,14.927,
2003-10,15.358,
2004-01,14.650,
2004-04,14.359,
2004-07,14.299,
2004-10,14.545,
2005-01,13.769,
2005-04,13.855,
2005-07,13.508,
2005-10,14.437,
2006-01,14.263,
2006-04,14.470,
2006-07,14.921,
2006-10,16.126,
2007-01,16.287,
2007-04,17.305,
2007-07,18.446,
2007-10,20.331,
2008-01,20.737,
2008-04,21.940,
2008-07,23.205,
2008-10,26.031,
2009-01,22.274,
2009-04,19.487,
2009-07,16.562,
2009-10,15.111,
2010-01,13.906,
2010-04,13.428,
2010-07,13.217,
2010-10,13.616,
2011-01,13.315,
2011-04,13.718,
2011-07,14.461,
2011-10,15.101,
2012-01,14.073,
2012-04,13.432,
2012-07,12.864,
2012-10,12.450,
2013-01,11.874,
2013-04,10.895,
2013-07,10.753,
2013-10,10.626,
2014-01,10.160,
2014-04,10.043,
2014-07,10.331,
