"",BBFB1.Q.N.DE.B2.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:33,
1991-01,46045.557,
1991-04,46727.866,
1991-07,43790.069,
1991-10,47247.191,
1992-01,47058.751,
1992-04,46007.848,
1992-07,42679.776,
1992-10,46408.590,
1993-01,38241.942,
1993-04,38245.158,
1993-07,36339.950,
1993-10,39341.508,
1994-01,38776.947,
1994-04,42035.730,
1994-07,40049.650,
1994-10,43960.425,
1995-01,45498.798,
1995-04,46472.887,
1995-07,43050.410,
1995-10,45869.554,
1996-01,46816.915,
1996-04,46681.611,
1996-07,44106.690,
1996-10,49619.420,
1997-01,49100.674,
1997-04,51516.632,
1997-07,50591.820,
1997-10,55048.332,
1998-01,54769.026,
1998-04,56774.817,
1998-07,52117.072,
1998-10,55480.734,
1999-01,53646.096,
1999-04,58526.250,
1999-07,55959.450,
1999-10,59521.464,
2000-01,60332.019,
2000-04,62926.337,
2000-07,63380.155,
2000-10,73840.705,
2001-01,65390.621,
2001-04,68583.733,
2001-07,62508.680,
2001-10,64280.729,
2002-01,56466.724,
2002-04,61545.282,
2002-07,59465.941,
2002-10,64305.104,
2003-01,61941.290,
2003-04,62254.248,
2003-07,58975.167,
2003-10,65063.336,
2004-01,63003.905,
2004-04,65294.092,
2004-07,66687.546,
2004-10,71204.152,
2005-01,66091.020,
2005-04,72058.086,
2005-07,70365.235,
2005-10,78042.714,
2006-01,77155.765,
2006-04,80337.367,
2006-07,79176.494,
2006-10,86861.816,
2007-01,82750.646,
2007-04,85948.874,
2007-07,83943.036,
2007-10,87769.424,
2008-01,87023.328,
2008-04,90339.137,
2008-07,89426.334,
2008-10,84789.230,
2009-01,73748.570,
2009-04,68357.756,
2009-07,69892.447,
2009-10,74251.959,
2010-01,76621.827,
2010-04,82748.880,
2010-07,82959.327,
2010-10,88819.311,
2011-01,93267.882,
2011-04,98153.516,
2011-07,91844.965,
2011-10,94983.381,
2012-01,96872.948,
2012-04,95386.560,
2012-07,92239.116,
2012-10,95227.266,
2013-01,95776.971,
2013-04,96199.814,
2013-07,94862.333,
2013-10,98424.418,
2014-01,97542.814,Provisional value
2014-04,98322.248,Provisional value
2014-07,96293.886,Provisional value
