"",BBK01.OEAE08S,BBK01.OEAE08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:49,
2002-01,0.053,
2002-04,0.059,
2002-07,0.050,
2002-10,0.048,
2003-01,0.063,
2003-04,0.063,
2003-07,0.055,
2003-10,0.058,
2004-01,0.057,
2004-04,0.055,
2004-07,0.054,
2004-10,0.052,
2005-01,0.058,
2005-04,0.059,
2005-07,0.057,
2005-10,0.054,
2006-01,0.036,
2006-04,0.035,
2006-07,0.040,
2006-10,0.038,
2007-01,0.037,
2007-04,0.040,
2007-07,0.043,
2007-10,0.041,
2008-01,0.040,
2008-04,0.042,
2008-07,0.040,
2008-10,0.040,
2009-01,0.032,
2009-04,0.034,
2009-07,0.030,
2009-10,0.031,
2010-01,0.031,
2010-04,0.034,
2010-07,0.033,
2010-10,0.032,
2011-01,0.034,
2011-04,0.033,
2011-07,0.030,
2011-10,0.033,
2012-01,0.037,
2012-04,0.036,
2012-07,0.039,
2012-10,0.040,
2013-01,0.042,
2013-04,0.040,
2013-07,0.036,
2013-10,0.040,
2014-01,0.047,
2014-04,0.047,
2014-07,0.047,
