"",BBK01.OEAC17U,BBK01.OEAC17U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:29,
2002-01,0.674,
2002-04,0.688,
2002-07,0.691,
2002-10,0.661,
2003-01,0.659,
2003-04,0.661,
2003-07,0.646,
2003-10,0.615,
2004-01,0.629,
2004-04,0.570,
2004-07,0.566,
2004-10,0.514,
2005-01,0.511,
2005-04,0.482,
2005-07,0.474,
2005-10,0.432,
2006-01,0.443,
2006-04,0.442,
2006-07,0.437,
2006-10,0.452,
2007-01,0.453,
2007-04,0.435,
2007-07,0.450,
2007-10,0.445,
2008-01,0.513,
2008-04,0.508,
2008-07,0.525,
2008-10,0.459,
2009-01,0.477,
2009-04,0.478,
2009-07,0.484,
2009-10,0.420,
2010-01,0.423,
2010-04,0.410,
2010-07,0.408,
2010-10,0.363,
2011-01,0.427,
2011-04,0.422,
2011-07,0.412,
2011-10,0.383,
2012-01,0.424,
2012-04,0.402,
2012-07,0.400,
2012-10,0.369,
2013-01,0.418,
2013-04,0.413,
2013-07,0.399,
2013-10,0.361,
2014-01,0.419,
2014-04,0.426,
2014-07,0.391,
