"",BBK01.OEAF13K,BBK01.OEAF13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:02,
2002-01,0.158,
2002-04,0.117,
2002-07,0.121,
2002-10,0.152,
2003-01,0.157,
2003-04,0.150,
2003-07,0.151,
2003-10,0.160,
2004-01,0.189,
2004-04,0.180,
2004-07,0.174,
2004-10,0.157,
2005-01,0.148,
2005-04,0.159,
2005-07,0.160,
2005-10,0.122,
2006-01,0.109,
2006-04,0.120,
2006-07,0.096,
2006-10,0.101,
2007-01,0.121,
2007-04,0.104,
2007-07,0.077,
2007-10,0.065,
2008-01,0.083,
2008-04,0.064,
2008-07,0.061,
2008-10,0.061,
2009-01,0.063,
2009-04,0.056,
2009-07,0.045,
2009-10,0.041,
2010-01,0.031,
2010-04,0.528,
2010-07,0.067,
2010-10,0.062,
2011-01,0.085,
2011-04,0.078,
2011-07,0.080,
2011-10,0.054,
2012-01,0.046,
2012-04,0.059,
2012-07,0.065,
2012-10,0.065,
2013-01,0.066,
2013-04,0.070,
2013-07,0.080,
2013-10,0.071,
2014-01,0.085,
2014-04,0.083,
2014-07,0.092,
