"",BBK01.QUJ386,BBK01.QUJ386_FLAGS
"",Banks in Germany: Long-term loans and advances to foreign banks / Croatia / All currencies,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:12:42,
1994-01,0.043,
1994-02,0.045,
1994-03,0.047,
1994-04,0.036,
1994-05,0.038,
1994-06,0.039,
1994-07,0.041,
1994-08,0.041,
1994-09,0.043,
1994-10,0.046,
1994-11,0.046,
1994-12,0.044,
1995-01,0.043,
1995-02,0.042,
1995-03,0.041,
1995-04,0.041,
1995-05,0.041,
1995-06,0.044,
1995-07,0.043,
1995-08,0.044,
1995-09,0.045,
1995-10,0.043,
1995-11,0.045,
1995-12,0.052,
1996-01,0.052,
1996-02,0.063,
1996-03,0.077,
1996-04,0.084,
1996-05,0.089,
1996-06,0.092,
1996-07,0.094,
1996-08,0.104,
1996-09,0.110,
1996-10,0.114,
1996-11,0.110,
1996-12,0.108,
1997-01,0.114,
1997-02,0.109,
1997-03,0.101,
1997-04,0.100,
1997-05,0.101,
1997-06,0.120,
1997-07,0.168,
1997-08,0.187,
1997-09,0.202,
1997-10,0.223,
1997-11,0.221,
1997-12,0.230,
1998-01,0.229,
1998-02,0.236,
1998-03,0.258,
1998-04,0.265,
1998-05,0.268,
1998-06,0.286,
1998-07,0.335,
1998-08,0.328,
1998-09,0.323,
1998-10,0.332,
1998-11,0.335,
1998-12,0.354,
1999-01,0.344,
1999-02,0.334,
1999-03,0.342,
1999-04,0.336,
1999-05,0.318,
1999-06,0.320,
1999-07,0.313,
1999-08,0.305,
1999-09,0.302,
1999-10,0.303,
1999-11,0.308,
1999-12,0.308,
2000-01,0.301,
2000-02,0.296,
2000-03,0.324,
2000-04,0.331,
2000-05,0.327,
2000-06,0.321,
2000-07,0.318,
2000-08,0.361,
2000-09,0.353,
2000-10,0.355,
2000-11,0.357,
2000-12,0.375,
2001-01,0.388,
2001-02,0.389,
2001-03,0.386,
2001-04,0.385,
2001-05,0.382,
2001-06,0.386,
2001-07,0.384,
2001-08,0.433,
2001-09,0.420,
2001-10,0.438,
2001-11,0.440,
2001-12,0.446,
2002-01,0.431,
2002-02,0.432,
2002-03,0.433,
2002-04,0.425,
2002-05,0.427,
2002-06,0.424,
2002-07,0.430,
2002-08,0.432,
2002-09,0.424,
2002-10,0.423,
2002-11,0.426,
2002-12,0.433,
2003-01,0.400,
2003-02,0.409,
2003-03,0.465,
2003-04,0.469,
2003-05,0.470,
2003-06,0.500,
2003-07,0.545,
2003-08,0.561,
2003-09,0.555,
2003-10,0.594,
2003-11,0.585,
2003-12,0.598,
2004-01,0.606,
2004-02,0.604,
2004-03,0.591,
2004-04,0.585,
2004-05,0.639,
2004-06,0.621,
2004-07,0.611,
2004-08,0.613,
2004-09,0.598,
2004-10,0.592,
2004-11,0.575,
2004-12,0.571,
2005-01,0.563,
2005-02,0.559,
2005-03,0.550,
2005-04,0.559,
2005-05,0.560,
2005-06,0.567,
2005-07,0.562,
2005-08,0.578,
2005-09,0.578,
2005-10,0.618,
2005-11,0.611,
2005-12,0.609,
2006-01,0.598,
2006-02,0.598,
2006-03,0.598,
2006-04,0.598,
2006-05,0.579,
2006-06,0.584,
2006-07,0.576,
2006-08,0.566,
2006-09,0.552,
2006-10,0.546,
2006-11,0.533,
2006-12,0.539,
2007-01,0.530,
2007-02,0.529,
2007-03,0.509,
2007-04,0.504,
2007-05,0.475,
2007-06,0.471,
2007-07,0.465,
2007-08,0.458,
2007-09,0.441,
2007-10,0.437,
2007-11,0.455,
2007-12,0.553,
2008-01,0.549,
2008-02,0.547,
2008-03,0.535,
2008-04,0.504,
2008-05,0.495,
2008-06,0.565,
2008-07,0.570,
2008-08,0.468,
2008-09,0.498,
2008-10,0.495,
2008-11,0.497,
2008-12,0.477,
2009-01,0.477,
2009-02,0.477,
2009-03,0.467,
2009-04,0.477,
2009-05,0.390,
2009-06,0.413,
2009-07,0.414,
2009-08,0.417,
2009-09,0.410,
2009-10,0.408,
2009-11,0.409,
2009-12,0.379,
2010-01,0.374,
2010-02,0.374,
2010-03,0.343,
2010-04,0.342,
2010-05,0.344,
2010-06,0.313,
2010-07,0.318,
2010-08,0.285,
2010-09,0.162,
2010-10,0.200,
2010-11,0.194,
2010-12,0.180,
2011-01,0.179,
2011-02,0.204,
2011-03,0.203,
2011-04,0.203,
2011-05,0.197,
2011-06,0.195,
2011-07,0.194,
2011-08,0.195,
2011-09,0.189,
2011-10,0.181,
2011-11,0.175,
2011-12,0.208,
2012-01,0.208,
2012-02,0.206,
2012-03,0.200,
2012-04,0.192,
2012-05,0.187,
2012-06,0.184,
2012-07,0.184,
2012-08,0.181,
2012-09,0.173,
2012-10,0.165,
2012-11,0.162,
2012-12,0.160,
2013-01,0.159,
2013-02,0.157,
2013-03,0.133,
2013-04,0.078,
2013-05,0.078,
2013-06,0.075,
2013-07,0.075,
2013-08,0.074,
2013-09,0.071,
2013-10,0.064,
2013-11,0.064,
2013-12,0.059,
2014-01,.,No value available
2014-02,0.105,
2014-03,0.095,
2014-04,0.095,
2014-05,0.095,
2014-06,0.092,
2014-07,0.090,
2014-08,0.089,
2014-09,0.088,
2014-10,0.088,
2014-11,0.088,
2014-12,0.084,
