"",BBK01.OEHL01N,BBK01.OEHL01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:29,
2002-01,116.894,
2002-04,116.873,
2002-07,115.775,
2002-10,118.221,
2003-01,118.667,
2003-04,118.549,
2003-07,117.059,
2003-10,117.763,
2004-01,118.004,
2004-04,117.330,
2004-07,116.166,
2004-10,117.092,
2005-01,116.748,
2005-04,116.343,
2005-07,116.000,
2005-10,117.044,
2006-01,117.590,
2006-04,117.085,
2006-07,116.231,
2006-10,116.975,
2007-01,116.343,
2007-04,116.003,
2007-07,115.869,
2007-10,118.090,
2008-01,117.787,
2008-04,117.520,
2008-07,116.750,
2008-10,121.160,
2009-01,121.804,
2009-04,121.964,
2009-07,121.309,
2009-10,122.936,
2010-01,124.505,
2010-04,125.349,
2010-07,125.046,
2010-10,126.593,
2011-01,126.701,
2011-04,126.975,
2011-07,126.635,
2011-10,128.228,
2012-01,128.557,
2012-04,129.461,
2012-07,130.105,
2012-10,131.202,
2013-01,132.030,
2013-04,132.841,
2013-07,132.402,
2013-10,134.116,
2014-01,134.419,
2014-04,134.744,
2014-07,134.968,
