"",BBK01.OEAE05N,BBK01.OEAE05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:35,
2002-01,4.324,
2002-04,4.325,
2002-07,4.359,
2002-10,4.327,
2003-01,4.284,
2003-04,4.213,
2003-07,4.254,
2003-10,4.179,
2004-01,4.142,
2004-04,4.067,
2004-07,4.007,
2004-10,3.846,
2005-01,3.847,
2005-04,3.806,
2005-07,3.734,
2005-10,3.744,
2006-01,3.781,
2006-04,3.742,
2006-07,3.763,
2006-10,3.744,
2007-01,3.698,
2007-04,3.644,
2007-07,3.641,
2007-10,3.698,
2008-01,3.715,
2008-04,3.669,
2008-07,3.669,
2008-10,3.642,
2009-01,3.662,
2009-04,3.702,
2009-07,3.714,
2009-10,3.649,
2010-01,3.697,
2010-04,3.680,
2010-07,3.774,
2010-10,3.773,
2011-01,3.739,
2011-04,3.752,
2011-07,3.712,
2011-10,3.701,
2012-01,3.707,
2012-04,3.729,
2012-07,3.747,
2012-10,3.726,
2013-01,3.772,
2013-04,3.731,
2013-07,3.722,
2013-10,3.727,
2014-01,3.699,
2014-04,3.718,
2014-07,3.666,
