"",BBFB1.Q.N.DE.PL.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:30,
1991-01,-94.897,
1991-04,-75.766,
1991-07,-6.778,
1991-10,190.988,
1992-01,-134.700,
1992-04,27.408,
1992-07,14.915,
1992-10,87.862,
1993-01,-34.065,
1993-04,62.275,
1993-07,-53.783,
1993-10,57.688,
1994-01,-23.140,
1994-04,35.489,
1994-07,-88.552,
1994-10,142.013,
1995-01,-27.171,
1995-04,34.945,
1995-07,10.941,
1995-10,203.439,
1996-01,-157.138,
1996-04,-4.327,
1996-07,-17.882,
1996-10,280.049,
1997-01,94.825,
1997-04,497.621,
1997-07,-189.874,
1997-10,225.287,
1998-01,884.741,
1998-04,-302.505,
1998-07,-255.278,
1998-10,-743.684,
1999-01,255.659,
1999-04,-60.978,
1999-07,428.538,
1999-10,351.597,
2000-01,-137.212,
2000-04,353.716,
2000-07,150.126,
2000-10,925.253,
2001-01,355.996,
2001-04,-651.111,
2001-07,356.764,
2001-10,-314.728,
2002-01,284.924,
2002-04,843.277,
2002-07,-976.918,
2002-10,-700.783,
2003-01,-56.680,
2003-04,211.284,
2003-07,-615.516,
2003-10,-309.825,
2004-01,647.091,
2004-04,98.108,
2004-07,125.894,
2004-10,181.127,
2005-01,370.359,
2005-04,161.744,
2005-07,715.205,
2005-10,-334.754,
2006-01,-344.182,
2006-04,73.842,
2006-07,48.091,
2006-10,422.077,
2007-01,222.536,
2007-04,-210.038,
2007-07,-623.630,
2007-10,71.356,
2008-01,-412.404,
2008-04,-72.076,
2008-07,-221.731,
2008-10,-349.264,
2009-01,-460.394,
2009-04,256.804,
2009-07,107.671,
2009-10,440.541,
2010-01,337.356,
2010-04,-404.420,
2010-07,1190.258,
2010-10,1211.565,
2011-01,-596.555,
2011-04,-1079.418,
2011-07,-442.053,
2011-10,381.320,
2012-01,-992.187,
2012-04,350.535,
2012-07,1665.480,
2012-10,-1174.768,
2013-01,256.984,
2013-04,182.807,
2013-07,789.649,
2013-10,-677.714,
2014-01,-208.742,Provisional value
2014-04,700.621,Provisional value
2014-07,219.879,Provisional value
2014-10,906.458,Provisional value
