"",BBEX3.M.OMR.EUR.CA.AB.A01,BBEX3.M.OMR.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Oman / EUR 1 = OMR ... (selling),
unit,OMR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:57,
1999-01,0.4379400,
1999-02,0.4600800,
1999-03,0.4130300,
1999-04,0.4088300,
1999-05,0.4030200,
1999-06,0.3979000,
1999-07,0.4118000,
1999-08,0.4042100,
1999-09,0.4097900,
1999-10,0.4061800,
1999-11,0.3892400,
1999-12,0.3874600,
2000-01,0.3776500,
2000-02,0.3741400,
2000-03,0.3671000,
2000-04,0.3512400,
2000-05,0.3588200,
2000-06,0.3637500,
2000-07,0.3557400,
2000-08,0.3444600,
2000-09,0.3404200,
2000-10,0.3239000,
2000-11,0.3282900,
2000-12,0.3627100,
2001-01,0.3567400,
2001-02,0.3530100,
2001-03,0.3370700,
2001-04,0.3432300,
2001-05,0.3287500,
2001-06,0.3273300,
2001-07,0.3371800,
2001-08,0.3498500,
2001-09,0.3510800,
2001-10,0.3493900,
2001-11,0.3417600,
2001-12,0.3410700,
2002-01,0.3322200,
2002-02,0.3328300,
2002-03,0.3357200,
2002-04,0.3480400,
2002-05,0.3606700,
2002-06,0.3817700,
2002-07,0.3791100,
2002-08,0.3780700,
2002-09,0.3788800,
2002-10,0.3803800,
2002-11,0.3826900,
2002-12,0.4034800,
2003-01,0.4169600,
2003-02,0.4154500,
2003-03,0.4169600,
2003-04,0.4278900,
2003-05,0.4538000,
2003-06,0.4402500,
2003-07,0.4361300,
2003-08,0.4230800,comment
2003-09,0.4474500,
2003-10,0.4496800,
2003-11,0.4585400,
2003-12,0.4841400,
2004-01,0.4798600,
2004-02,0.4810300,
2004-03,0.4711200,
2004-04,0.4553000,
2004-05,0.4698500,
2004-06,0.4655000,
2004-07,0.4626900,
2004-08,0.4653100,
2004-09,0.4750100,
2004-10,0.4900300,
2004-11,0.5109000,
2004-12,0.5246000,
2005-01,0.5022300,
2005-02,0.5110100,
2005-03,0.4984600,
2005-04,0.4957600,
2005-05,0.4778200,
2005-06,0.4656190,
2005-07,0.4689685,
2005-08,0.4706625,
2005-09,0.4644640,
2005-10,0.4641560,
2005-11,0.4552240,
2005-12,0.4558400,
2006-01,0.4656190,
2006-02,0.4568795,
2006-03,0.4622310,
2006-04,0.4865245,
2006-05,0.4929925,
2006-06,0.4830595,
2006-07,0.4914525,
2006-08,0.4943400,
2006-09,0.4883340,
2006-10,0.4896815,
2006-11,0.5055820,
2006-12,0.5083155,
2007-01,0.4990755,
2007-02,0.5076225,
2007-03,0.5140905,
2007-04,0.5251015,
2007-05,0.5173245,
2007-06,0.5213670,
2007-07,0.5279890,
2007-08,0.5236000,
2007-09,0.5493950,
2007-10,0.5559400,
2007-11,0.5722640,
2007-12,0.5677595,
2008-01,0.5686065,
2008-02,0.5709935,comment
2008-03,0.6084540,
2008-04,0.5995990,
2008-05,0.5988675,
2008-06,0.6079150,
2008-07,0.6004075,
2008-08,0.5650260,
2008-09,0.5580960,
2008-10,0.5089315,
2008-11,0.4887575,
2008-12,0.5423110,
2009-01,0.5048505,
2009-02,0.4906825,
2009-03,0.5095090,
2009-04,0.5001535,
2009-05,0.5451215,
2009-06,0.5430810,
2009-07,0.5410405,
2009-08,0.5499725,
2009-09,0.5629085,
2009-10,0.5667970,
2009-11,0.5817350,
2009-12,0.5531680,
2010-01,0.5337255,
2010-02,0.5190955,
2010-03,0.5158230,
2010-04,0.5085850,
2010-05,0.4739350,
2010-06,0.4704700,
2010-07,0.5011160,
2010-08,0.4869095,
2010-09,0.5236000,
2010-10,0.5369980,
2010-11,0.5043500,
2010-12,0.5093935,
2011-01,0.5236385,
2011-02,0.5296060,
2011-03,0.5424265,
2011-04,0.5723410,
2011-05,0.5537840,
2011-06,0.5528215,
2011-07,0.5544000,
2011-08,0.5582500,
2011-09,0.5219060,
2011-10,0.5387690,
2011-11,0.5136285,
2011-12,0.4978435,
2012-01,0.5079690,
2012-02,0.5190570,
2012-03,0.5133590,
2012-04,0.5101250,
2012-05,0.4800180,
2012-06,0.4814040,
2012-07,0.4729340,
2012-08,0.4835600,
2012-09,0.4959570,
2012-10,0.4994990,
2012-11,0.4999610,
2012-12,0.5088160,
2013-01,0.5193650,
2013-02,0.5025020,
2013-03,0.4937240,
2013-04,0.5041960,
2013-05,0.4990370,
2013-06,0.5009620,
2013-07,0.5105100,
2013-08,0.5134360,
2013-09,0.5199810,
2013-10,0.5277580,
2013-11,0.5209820,
2013-12,0.5311460,
2014-01,0.5256790,
2014-02,0.5269880,
2014-03,0.5293750,
2014-04,0.5316850,
2014-05,0.5238310,
2014-06,0.5253710,
2014-07,0.5184410,
2014-08,0.5087390,
2014-09,0.4887190,
2014-10,0.4858700,
2014-11,0.4794790,
2014-12,0.4683140,
2015-01,0.4338950,
"","Source: Central Bank of Oman, Muscat",
"",Comment on 2003-08: Exchange rate as of 1 September 2003.,
"",Comment on 2008-02: Exchange rate as of 26 February 2008.,
