"",BBFN1.M.DE.N.1.L.IT.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IT.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Italy,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:58,
1982-09,0.032,
1982-10,0.035,
1982-11,0.035,
1982-12,0.035,
1983-01,0.035,
1983-02,0.034,
1983-03,0.034,
1983-04,0.032,
1983-05,0.031,
1983-06,0.032,
1983-07,0.031,
1983-08,0.031,
1983-09,0.031,
1983-10,0.030,
1983-11,0.030,
1983-12,0.030,
1984-01,0.029,
1984-02,0.028,
1984-03,0.027,
1984-04,0.026,
1984-05,0.027,
1984-06,0.026,
1984-07,0.026,
1984-08,0.025,
1984-09,0.025,
1984-10,0.022,
1984-11,0.026,
1984-12,0.027,
1985-01,0.036,
1985-02,0.033,
1985-03,0.033,
1985-04,0.039,
1985-05,0.038,
1985-06,0.038,
1985-07,0.038,
1985-08,0.039,
1985-09,0.039,
1985-10,0.039,
1985-11,0.041,
1985-12,0.041,
1986-01,0.031,
1986-02,0.031,
1986-03,0.031,
1986-04,0.036,
1986-05,0.037,
1986-06,0.035,
1986-07,0.033,
1986-08,0.033,
1986-09,0.028,
1986-10,0.026,
1986-11,0.026,
1986-12,0.025,
1987-01,0.025,
1987-02,0.025,
1987-03,0.025,
1987-04,0.025,
1987-05,0.025,
1987-06,0.025,
1987-07,0.025,
1987-08,0.024,
1987-09,0.022,
1987-10,0.022,
1987-11,0.027,
1987-12,0.023,
1988-01,0.024,
1988-02,0.025,
1988-03,0.021,
1988-04,0.021,
1988-05,0.020,
1988-06,0.020,
1988-07,0.019,
1988-08,0.017,
1988-09,0.016,
1988-10,0.015,
1988-11,0.016,
1988-12,0.015,
1989-01,0.014,
1989-02,0.014,
1989-03,0.013,
1989-04,0.013,
1989-05,0.012,
1989-06,0.013,
1989-07,0.014,
1989-08,0.015,
1989-09,0.014,
1989-10,0.014,
1989-11,0.014,
1989-12,0.021,
1990-01,0.021,
1990-02,0.021,
1990-03,0.021,
1990-04,0.028,
1990-05,0.028,
1990-06,0.029,
1990-07,0.024,
1990-08,0.031,
1990-09,0.034,
1990-10,0.033,
1990-11,0.034,
1990-12,0.035,
1991-01,0.189,
1991-02,0.189,
1991-03,0.191,
1991-04,0.194,
1991-05,0.207,
1991-06,0.206,
1991-07,0.206,
1991-08,0.203,
1991-09,0.199,
1991-10,0.195,
1991-11,0.196,
1991-12,0.194,
1992-01,0.199,
1992-02,0.039,
1992-03,0.040,
1992-04,0.194,
1992-05,0.199,
1992-06,0.301,
1992-07,0.276,
1992-08,0.277,
1992-09,0.281,
1992-10,0.281,
1992-11,0.275,
1992-12,0.316,
1993-01,0.312,
1993-02,0.268,
1993-03,0.265,
1993-04,0.275,
1993-05,0.274,
1993-06,0.270,
1993-07,0.278,
1993-08,0.276,
1993-09,0.277,
1993-10,0.275,
1993-11,0.276,
1993-12,0.274,
1994-01,0.274,
1994-02,0.273,
1994-03,0.271,
1994-04,0.323,
1994-05,0.197,
1994-06,0.199,
1994-07,0.193,
1994-08,0.193,
1994-09,0.191,
1994-10,0.191,
1994-11,0.192,
1994-12,0.193,
1995-01,0.193,
1995-02,0.191,
1995-03,0.189,
1995-04,0.189,
1995-05,0.186,
1995-06,0.186,
1995-07,0.186,
1995-08,0.183,
1995-09,0.183,
1995-10,0.183,
1995-11,0.183,
1995-12,0.173,
1996-01,0.170,
1996-02,0.163,
1996-03,0.163,
1996-04,0.165,
1996-05,0.115,
1996-06,0.118,
1996-07,0.120,
1996-08,0.121,
1996-09,0.119,
1996-10,0.130,
1996-11,0.131,
1996-12,0.120,
1997-01,0.119,
1997-02,0.125,
1997-03,0.135,
1997-04,0.084,
1997-05,0.084,
1997-06,0.083,
1997-07,0.082,
1997-08,0.076,
1997-09,0.075,
1997-10,0.074,
1997-11,0.074,
1997-12,0.073,
1998-01,0.073,
1998-02,0.072,
1998-03,0.082,
1998-04,0.095,
1998-05,0.081,
1998-06,1.628,
1998-07,1.591,
1998-08,1.680,
1998-09,1.691,
1998-10,1.745,
1998-11,1.182,
1998-12,1.185,
1999-01,1.182,
1999-02,1.180,
1999-03,1.194,
1999-04,1.199,
1999-05,1.203,
1999-06,0.165,
1999-07,0.265,
1999-08,0.267,
1999-09,0.111,
1999-10,0.125,
1999-11,0.134,
1999-12,0.148,
2000-01,0.143,
2000-02,0.148,
2000-03,0.156,
2000-04,0.158,
2000-05,0.164,
2000-06,0.191,
2000-07,0.197,
2000-08,0.203,
2000-09,0.217,
2000-10,0.198,
2000-11,0.196,
2000-12,0.182,
2001-01,0.210,
2001-02,0.235,
2001-03,0.245,
2001-04,0.269,
2001-05,0.276,
2001-06,0.249,
2001-07,0.410,
2001-08,0.224,
2001-09,0.208,
2001-10,0.189,
2001-11,0.187,
2001-12,0.184,
2002-01,0.187,
2002-02,0.207,
2002-03,0.203,
2002-04,0.201,
2002-05,0.211,
2002-06,0.200,
2002-07,0.612,
2002-08,0.749,
2002-09,0.744,
2002-10,0.789,
2002-11,0.779,
2002-12,0.747,
2003-01,0.733,
2003-02,0.388,
2003-03,0.391,
2003-04,0.596,
2003-05,0.711,
2003-06,0.706,
2003-07,0.730,
2003-08,0.741,
2003-09,0.710,
2003-10,0.611,
2003-11,0.614,
2003-12,0.634,
2004-01,0.603,
2004-02,0.621,
2004-03,0.610,
2004-04,0.609,
2004-05,0.618,
2004-06,0.617,
2004-07,0.634,
2004-08,0.660,
2004-09,0.639,
2004-10,0.659,
2004-11,0.658,
2004-12,0.589,
2005-01,0.623,
2005-02,0.910,
2005-03,0.909,
2005-04,0.906,
2005-05,0.881,
2005-06,0.929,
2005-07,0.947,
2005-08,0.942,
2005-09,0.945,
2005-10,0.952,
2005-11,0.965,
2005-12,0.883,
2006-01,0.879,
2006-02,0.852,
2006-03,0.853,
2006-04,0.854,
2006-05,0.855,
2006-06,0.833,
2006-07,0.837,
2006-08,0.889,
2006-09,0.903,
2006-10,0.478,
2006-11,0.492,
2006-12,0.582,
2007-01,0.551,
2007-02,0.585,
2007-03,0.584,
2007-04,0.584,
2007-05,0.575,
2007-06,0.678,
2007-07,0.696,
2007-08,1.332,
2007-09,1.247,
2007-10,1.241,
2007-11,1.269,
2007-12,1.327,
2008-01,1.298,
2008-02,1.931,
2008-03,1.739,
2008-04,1.739,
2008-05,1.800,
2008-06,1.942,
2008-07,1.921,
2008-08,1.964,
2008-09,1.917,
2008-10,1.856,
2008-11,1.854,
2008-12,1.801,
2009-01,1.810,
2009-02,1.814,
2009-03,1.557,
2009-04,1.552,
2009-05,1.627,
2009-06,1.575,
2009-07,1.566,
2009-08,2.051,
2009-09,2.073,
2009-10,2.051,
2009-11,2.098,
2009-12,2.253,
2010-01,2.277,
2010-02,2.280,
2010-03,2.077,
2010-04,2.069,
2010-05,1.950,
2010-06,1.956,
2010-07,1.736,
2010-08,1.789,
2010-09,1.700,
2010-10,1.676,
2010-11,1.725,
2010-12,3.282,
2011-01,3.263,
2011-02,3.245,
2011-03,3.240,
2011-04,3.259,
2011-05,3.106,
2011-06,2.977,
2011-07,3.040,
2011-08,2.973,
2011-09,3.006,
2011-10,3.062,
2011-11,2.707,
2011-12,2.648,
2012-01,2.635,
2012-02,2.731,
2012-03,2.816,
2012-04,2.794,
2012-05,2.786,
2012-06,3.587,
2012-07,3.636,
2012-08,3.481,
2012-09,3.514,
2012-10,3.533,
2012-11,3.463,
2012-12,2.755,
2013-01,2.838,
2013-02,2.287,
2013-03,2.267,
2013-04,2.175,
2013-05,2.162,
2013-06,1.911,
2013-07,1.986,
2013-08,1.957,
2013-09,1.942,
2013-10,1.834,
2013-11,1.823,
2013-12,1.929,
2014-01,1.938,
2014-02,1.941,
2014-03,1.916,
2014-04,0.891,
2014-05,0.880,
2014-06,0.891,
2014-07,0.865,
2014-08,0.869,
2014-09,0.868,
2014-10,0.832,
2014-11,0.883,
2014-12,0.921,
