"",BBK01.OEBJ05O,BBK01.OEBJ05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:33,
2002-01,-6.179,
2002-04,-6.109,
2002-07,-5.999,
2002-10,-6.249,
2003-01,-6.270,
2003-04,-6.075,
2003-07,-6.324,
2003-10,-6.519,
2004-01,-6.694,
2004-04,-6.843,
2004-07,-7.436,
2004-10,-7.312,
2005-01,0.431,
2005-04,0.447,
2005-07,0.456,
2005-10,0.437,
2006-01,0.415,
2006-04,0.383,
2006-07,0.567,
2006-10,0.576,
2007-01,0.540,
2007-04,0.680,
2007-07,0.682,
2007-10,0.695,
2008-01,0.701,
2008-04,0.706,
2008-07,0.731,
2008-10,0.733,
2009-01,1.106,
2009-04,1.089,
2009-07,1.037,
2009-10,1.103,
2010-01,0.656,
2010-04,0.769,
2010-07,0.628,
2010-10,0.541,
2011-01,0.402,
2011-04,0.406,
2011-07,0.395,
2011-10,0.399,
2012-01,0.371,
2012-04,0.391,
2012-07,0.403,
2012-10,0.403,
2013-01,0.417,
2013-04,0.564,
2013-07,0.519,
2013-10,0.512,
2014-01,0.487,
2014-04,0.481,
2014-07,0.456,
