"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.U3.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.U3.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:46,
2009-09,12365,
2009-10,12507,
2009-11,12276,
2009-12,12498,
2010-01,13252,
2010-02,12897,
2010-03,12958,
2010-04,13250,
2010-05,13361,
2010-06,13907,
2010-07,13610,
2010-08,13610,
2010-09,13191,
2010-10,13046,
2010-11,13430,
2010-12,12878,
2011-01,12683,
2011-02,12782,
2011-03,12451,
2011-04,11981,
2011-05,12174,
2011-06,11749,
2011-07,12004,
2011-08,11979,
2011-09,11971,
2011-10,11910,
2011-11,12220,
2011-12,12489,
2012-01,12491,
2012-02,12417,
2012-03,12178,
2012-04,12778,
2012-05,12902,
2012-06,12713,
2012-07,13065,
2012-08,12694,
2012-09,12718,
2012-10,13087,
2012-11,12734,
2012-12,12643,
2013-01,12515,
2013-02,12524,
2013-03,12725,
2013-04,12797,
2013-05,12782,
2013-06,12558,
2013-07,12358,
2013-08,12324,
2013-09,12541,
2013-10,12312,
2013-11,12974,
2013-12,13005,
2014-01,13074,
2014-02,13125,
2014-03,12881,
2014-04,12623,
2014-05,12807,
2014-06,12829,
2014-07,12629,
2014-08,12500,
2014-09,12701,
2014-10,12662,
2014-11,12785,
