"",BBK01.CEFC501,BBK01.CEFC501_FLAGS
"",Financial derivatives  debtor: OFI                                                                creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:05,
1999-01,6.3,
1999-04,7.0,
1999-07,6.9,
1999-10,6.9,
2000-01,6.9,
2000-04,7.0,
2000-07,7.8,
2000-10,8.6,
2001-01,9.2,
2001-04,9.7,
2001-07,10.7,
2001-10,11.8,
2002-01,12.3,
2002-04,7.8,
2002-07,9.2,
2002-10,9.0,
2003-01,12.5,
2003-04,10.6,
2003-07,14.3,
2003-10,11.8,
2004-01,16.9,
2004-04,14.3,
2004-07,14.7,
2004-10,14.4,
2005-01,17.7,
2005-04,23.0,
2005-07,32.2,
2005-10,32.8,
2006-01,43.7,
2006-04,45.2,
2006-07,51.9,
2006-10,57.5,
2007-01,64.9,
2007-04,78.6,
2007-07,81.1,
2007-10,67.8,
2008-01,73.3,
2008-04,83.4,
2008-07,101.5,
2008-10,76.6,
2009-01,82.7,
2009-04,69.1,
2009-07,67.5,
2009-10,45.1,
2010-01,41.1,
2010-04,48.2,
2010-07,36.4,
2010-10,37.4,
2011-01,10.3,
2011-04,10.4,
2011-07,11.1,
2011-10,8.9,
2012-01,8.9,
2012-04,8.0,
2012-07,9.1,
2012-10,9.0,
2013-01,21.0,
2013-04,4.5,
2013-07,3.7,
2013-10,6.8,
2014-01,6.8,
2014-04,7.1,
2014-07,2.6,
