"",BBK01.OEAA11H,BBK01.OEAA11H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:46,
2002-01,62.652,
2002-04,62.604,
2002-07,63.197,
2002-10,61.761,
2003-01,57.879,
2003-04,55.956,
2003-07,55.453,
2003-10,55.450,
2004-01,55.623,
2004-04,51.471,
2004-07,52.671,
2004-10,49.238,
2005-01,47.260,
2005-04,49.557,
2005-07,49.930,
2005-10,42.654,
2006-01,53.486,
2006-04,47.896,
2006-07,54.303,
2006-10,45.428,
2007-01,52.432,
2007-04,47.956,
2007-07,55.077,
2007-10,48.445,
2008-01,59.975,
2008-04,67.838,
2008-07,69.076,
2008-10,46.479,
2009-01,55.642,
2009-04,55.342,
2009-07,53.832,
2009-10,43.582,
2010-01,46.636,
2010-04,45.819,
2010-07,48.749,
2010-10,107.153,
2011-01,82.398,
2011-04,68.977,
2011-07,55.880,
2011-10,49.694,
2012-01,54.978,
2012-04,50.669,
2012-07,55.909,
2012-10,49.245,
2013-01,52.528,
2013-04,52.791,
2013-07,41.219,
2013-10,40.784,
2014-01,38.962,
2014-04,38.422,
2014-07,39.940,
