"",BBK01.OEBJ02O,BBK01.OEBJ02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:12,
2002-01,-0.472,
2002-04,-0.497,
2002-07,-0.429,
2002-10,-0.938,
2003-01,-1.474,
2003-04,-0.226,
2003-07,-1.197,
2003-10,-1.738,
2004-01,-1.574,
2004-04,-1.189,
2004-07,-1.186,
2004-10,-1.850,
2005-01,1.591,
2005-04,1.830,
2005-07,1.770,
2005-10,1.999,
2006-01,1.834,
2006-04,1.683,
2006-07,1.676,
2006-10,1.898,
2007-01,1.686,
2007-04,1.776,
2007-07,1.880,
2007-10,2.243,
2008-01,1.996,
2008-04,1.959,
2008-07,2.171,
2008-10,2.112,
2009-01,2.077,
2009-04,2.074,
2009-07,2.344,
2009-10,2.750,
2010-01,2.457,
2010-04,2.560,
2010-07,2.773,
2010-10,2.716,
2011-01,2.501,
2011-04,2.637,
2011-07,3.047,
2011-10,2.842,
2012-01,2.704,
2012-04,2.893,
2012-07,3.421,
2012-10,4.469,
2013-01,4.164,
2013-04,3.636,
2013-07,3.631,
2013-10,3.533,
2014-01,3.241,
2014-04,3.319,
2014-07,3.953,
